Product Pair,Frequency
"('Logitech B530 USB\xa0Headset\xa0-\xa0headset\xa0- Full size, Binaural', 'Multicolor Computer Printout Paper')",1
"('Logitech B530 USB\xa0Headset\xa0-\xa0headset\xa0- Full size, Binaural', 'Newell 322')",1
"('Logitech B530 USB\xa0Headset\xa0-\xa0headset\xa0- Full size, Binaural', 'Space Solutions Commercial Steel Shelving')",1
"('Multicolor Computer Printout Paper', 'Newell 322')",1
"('Multicolor Computer Printout Paper', 'Space Solutions Commercial Steel Shelving')",1
"('Newell 322', 'Space Solutions Commercial Steel Shelving')",1
"('Alphabetical Labels for Top Tab Filing', 'HTC One')",1
"('C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings', 'Tenex B1-RE Series Chair Mats for Low Pile Carpets')",1
"('C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings', 'Xerox 194')",1
"('C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings', 'Xerox 211')",1
"('Tenex B1-RE Series Chair Mats for Low Pile Carpets', 'Xerox 194')",1
"('Tenex B1-RE Series Chair Mats for Low Pile Carpets', 'Xerox 211')",1
"('Xerox 194', 'Xerox 211')",1
"('Avery 513', 'Cisco IP\xa0Phone\xa07961G VoIP\xa0phone\xa0- Dark gray')",1
"('Avery 513', 'Newell 320')",1
"('Avery 513', 'Staples')",1
"('Cisco IP\xa0Phone\xa07961G VoIP\xa0phone\xa0- Dark gray', 'Newell 320')",1
"('Cisco IP\xa0Phone\xa07961G VoIP\xa0phone\xa0- Dark gray', 'Staples')",1
"('Newell 320', 'Staples')",1
"('Master Caster Door Stop, Large Neon Orange', 'Polycom SoundPoint IP 450 VoIP phone')",1
"('Master Caster Door Stop, Large Neon Orange', 'Rosewill 107 Normal Keys USB Wired Standard Keyboard')",1
"('Master Caster Door Stop, Large Neon Orange', 'Xerox 210')",1
"('Polycom SoundPoint IP 450 VoIP phone', 'Rosewill 107 Normal Keys USB Wired Standard Keyboard')",1
"('Polycom SoundPoint IP 450 VoIP phone', 'Xerox 210')",1
"('Rosewill 107 Normal Keys USB Wired Standard Keyboard', 'Xerox 210')",1
"('AT&T CL82213', 'Crayola Colored Pencils')",1
"('AT&T CL82213', 'Martin Yale Chadless Opener Electric Letter Opener')",1
"('AT&T CL82213', 'Newell 321')",1
"('AT&T CL82213', 'Xerox 1957')",1
"('Crayola Colored Pencils', 'Martin Yale Chadless Opener Electric Letter Opener')",1
"('Crayola Colored Pencils', 'Newell 321')",1
"('Crayola Colored Pencils', 'Xerox 1957')",1
"('Martin Yale Chadless Opener Electric Letter Opener', 'Newell 321')",1
"('Martin Yale Chadless Opener Electric Letter Opener', 'Xerox 1957')",1
"('Newell 321', 'Xerox 1957')",1
"('Avery 487', 'Ibico Ibimaster 300 Manual Binding System')",1
"('Acme Design Stainless Steel Bent Scissors', 'Hon Pagoda Stacking Chairs')",1
"('Acme Design Stainless Steel Bent Scissors', 'Southworth 25% Cotton Premium Laser Paper and Envelopes')",1
"('Acme Design Stainless Steel Bent Scissors', 'Wilson Electronics DB Pro Signal Booster')",1
"('Hon Pagoda Stacking Chairs', 'Southworth 25% Cotton Premium Laser Paper and Envelopes')",1
"('Hon Pagoda Stacking Chairs', 'Wilson Electronics DB Pro Signal Booster')",1
"('Southworth 25% Cotton Premium Laser Paper and Envelopes', 'Wilson Electronics DB Pro Signal Booster')",1
"('Advantus Panel Wall Certificate Holder - 8.5x11', 'Luxo Adjustable Task Clamp Lamp')",1
"('Advantus Panel Wall Certificate Holder - 8.5x11', 'Wilson Jones Four-Pocket Poly Binders')",1
"('Luxo Adjustable Task Clamp Lamp', 'Wilson Jones Four-Pocket Poly Binders')",1
"('Acrylic Self-Standing Desk Frames', 'Avoid Verbal Orders Carbonless Minifold Book')",1
"('Acrylic Self-Standing Desk Frames', 'Xerox 1978')",1
"('Avoid Verbal Orders Carbonless Minifold Book', 'Xerox 1978')",1
"('GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""', 'Geemarc AmpliPOWER60')",1
"('GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""', 'Honeywell Quietcare HEPA Air Cleaner')",1
"('GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""', 'Xerox 1948')",1
"('Geemarc AmpliPOWER60', 'Honeywell Quietcare HEPA Air Cleaner')",1
"('Geemarc AmpliPOWER60', 'Xerox 1948')",1
"('Honeywell Quietcare HEPA Air Cleaner', 'Xerox 1948')",1
"('Avery Non-Stick Binders', 'Cisco 8x8 Inc. 6753i IP Business Phone System')",1
"('Avery Non-Stick Binders', 'GBC Personal VeloBind Strips')",1
"('Avery Non-Stick Binders', 'Motorola Droid Maxx')",1
"('Cisco 8x8 Inc. 6753i IP Business Phone System', 'GBC Personal VeloBind Strips')",1
"('Cisco 8x8 Inc. 6753i IP Business Phone System', 'Motorola Droid Maxx')",1
"('GBC Personal VeloBind Strips', 'Motorola Droid Maxx')",1
"('Kingston Digital DataTraveler 8GB USB 2.0', 'RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set')",1
"('Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting', 'SanDisk Cruzer 64 GB USB Flash Drive')",1
"('Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting', 'Xblue XB-1670-86 X16 Small\xa0Office Telephone\xa0- Titanium')",1
"('SanDisk Cruzer 64 GB USB Flash Drive', 'Xblue XB-1670-86 X16 Small\xa0Office Telephone\xa0- Titanium')",1
"('Eldon Gobal File Keepers', ""Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black"")",1
"('Eldon Gobal File Keepers', 'Executive Impressions 12"" Wall Clock')",1
"('Eldon Gobal File Keepers', 'GBC Prestige Therm-A-Bind Covers')",1
"(""Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black"", 'Executive Impressions 12"" Wall Clock')",1
"(""Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black"", 'GBC Prestige Therm-A-Bind Covers')",1
"('Executive Impressions 12"" Wall Clock', 'GBC Prestige Therm-A-Bind Covers')",1
"('Avery 501', 'Avery Flip-Chart Easel Binder, Black')",1
"('Avery 501', 'Cisco 8x8 Inc. 6753i IP Business Phone System')",1
"('Avery 501', 'Crate-A-Files')",1
"('Avery 501', 'Document Clip Frames')",1
"('Avery 501', 'Eldon Wave Desk Accessories')",1
"('Avery 501', 'Logitech\xa0Wireless Boombox Speaker - portable - wireless, wired')",1
"('Avery Flip-Chart Easel Binder, Black', 'Cisco 8x8 Inc. 6753i IP Business Phone System')",1
"('Avery Flip-Chart Easel Binder, Black', 'Crate-A-Files')",1
"('Avery Flip-Chart Easel Binder, Black', 'Document Clip Frames')",1
"('Avery Flip-Chart Easel Binder, Black', 'Eldon Wave Desk Accessories')",1
"('Avery Flip-Chart Easel Binder, Black', 'Logitech\xa0Wireless Boombox Speaker - portable - wireless, wired')",1
"('Cisco 8x8 Inc. 6753i IP Business Phone System', 'Crate-A-Files')",1
"('Cisco 8x8 Inc. 6753i IP Business Phone System', 'Document Clip Frames')",1
"('Cisco 8x8 Inc. 6753i IP Business Phone System', 'Eldon Wave Desk Accessories')",1
"('Cisco 8x8 Inc. 6753i IP Business Phone System', 'Logitech\xa0Wireless Boombox Speaker - portable - wireless, wired')",1
"('Crate-A-Files', 'Document Clip Frames')",1
"('Crate-A-Files', 'Eldon Wave Desk Accessories')",1
"('Crate-A-Files', 'Logitech\xa0Wireless Boombox Speaker - portable - wireless, wired')",1
"('Document Clip Frames', 'Eldon Wave Desk Accessories')",1
"('Document Clip Frames', 'Logitech\xa0Wireless Boombox Speaker - portable - wireless, wired')",1
"('Eldon Wave Desk Accessories', 'Logitech\xa0Wireless Boombox Speaker - portable - wireless, wired')",1
"('Eldon 200 Class Desk Accessories, Smoke', 'Portable Personal File Box')",1
"('Eldon 200 Class Desk Accessories, Smoke', 'SanDisk Cruzer 32 GB USB Flash Drive')",1
"('Eldon 200 Class Desk Accessories, Smoke', 'Xerox 23')",1
"('Portable Personal File Box', 'SanDisk Cruzer 32 GB USB Flash Drive')",1
"('Portable Personal File Box', 'Xerox 23')",1
"('SanDisk Cruzer 32 GB USB Flash Drive', 'Xerox 23')",1
"('KI Adjustable-Height Table', 'SAFCO Commercial Wire Shelving, 72h')",1
"('KI Adjustable-Height Table', 'Sony Micro Vault Click 16 GB USB 2.0 Flash Drive')",1
"('SAFCO Commercial Wire Shelving, 72h', 'Sony Micro Vault Click 16 GB USB 2.0 Flash Drive')",1
"('Aluminum Document Frame', 'GBC Standard Therm-A-Bind Covers')",1
"('Contico 72""H Heavy-Duty Storage System', 'Global Leather and Oak Executive Chair, Black')",1
"('Contico 72""H Heavy-Duty Storage System', 'Newell Chalk Holder')",1
"('Contico 72""H Heavy-Duty Storage System', 'Office Star - Task Chair with Contemporary Loop Arms')",1
"('Global Leather and Oak Executive Chair, Black', 'Newell Chalk Holder')",1
"('Global Leather and Oak Executive Chair, Black', 'Office Star - Task Chair with Contemporary Loop Arms')",1
"('Newell Chalk Holder', 'Office Star - Task Chair with Contemporary Loop Arms')",1
"('AT&T 1080 Corded phone', 'Acco Hanging Data Binders')",1
"('AT&T 1080 Corded phone', 'Fashion Color Clasp Envelopes')",1
"('AT&T 1080 Corded phone', 'Logitech 910-002974 M325 Wireless Mouse for Web Scrolling')",1
"('AT&T 1080 Corded phone', 'Plantronics CS 50-USB -\xa0headset\xa0- Convertible, Monaural')",1
"('Acco Hanging Data Binders', 'Fashion Color Clasp Envelopes')",1
"('Acco Hanging Data Binders', 'Logitech 910-002974 M325 Wireless Mouse for Web Scrolling')",1
"('Acco Hanging Data Binders', 'Plantronics CS 50-USB -\xa0headset\xa0- Convertible, Monaural')",1
"('Fashion Color Clasp Envelopes', 'Logitech 910-002974 M325 Wireless Mouse for Web Scrolling')",1
"('Fashion Color Clasp Envelopes', 'Plantronics CS 50-USB -\xa0headset\xa0- Convertible, Monaural')",1
"('Logitech 910-002974 M325 Wireless Mouse for Web Scrolling', 'Plantronics CS 50-USB -\xa0headset\xa0- Convertible, Monaural')",1
"('Angle-D Binders with Locking Rings, Label Holders', 'Belkin Standard 104 key USB Keyboard')",1
"('Angle-D Binders with Locking Rings, Label Holders', 'Dixon Ticonderoga Core-Lock Colored Pencils')",1
"('Angle-D Binders with Locking Rings, Label Holders', 'Panasonic KX TS3282B Corded phone')",1
"('Angle-D Binders with Locking Rings, Label Holders', 'Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer')",1
"('Belkin Standard 104 key USB Keyboard', 'Dixon Ticonderoga Core-Lock Colored Pencils')",1
"('Belkin Standard 104 key USB Keyboard', 'Panasonic KX TS3282B Corded phone')",1
"('Belkin Standard 104 key USB Keyboard', 'Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer')",1
"('Dixon Ticonderoga Core-Lock Colored Pencils', 'Panasonic KX TS3282B Corded phone')",1
"('Dixon Ticonderoga Core-Lock Colored Pencils', 'Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer')",1
"('Panasonic KX TS3282B Corded phone', 'Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer')",1
"('Avery 489', 'Sauder Camden County Barrister Bookcase, Planked Cherry Finish')",1
"('Avery 489', 'Staples')",1
"('Sauder Camden County Barrister Bookcase, Planked Cherry Finish', 'Staples')",1
"('50 Colored Long Pencils', 'Hon Olson Stacker Stools')",1
"('Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""', 'Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock')",1
"(""Global Executive Mid-Back Manager's Chair"", 'Samsung Galaxy S III - 16GB - pebble blue (T-Mobile)')",1
"('Acme Rosewood Handle Letter Opener', 'Eldon Regeneration Recycled Desk Accessories, Smoke')",1
"('Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige', 'netTALK DUO VoIP Telephone Service')",1
"('Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""', 'Fellowes Twister Kit, Gray/Clear, 3/pkg')",1
"('Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""', 'Letter/Legal File Tote with Clear Snap-On Lid, Black Granite')",1
"('Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""', 'Maxell\xa0LTO Ultrium - 800 GB')",1
"('Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""', 'Newell 325')",1
"('Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""', 'Novimex Fabric Task Chair')",1
"('Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""', 'Staples')",1
"('Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""', 'Tennsco Regal Shelving Units')",1
"('Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""', 'Xerox 1952')",1
"('Fellowes Twister Kit, Gray/Clear, 3/pkg', 'Letter/Legal File Tote with Clear Snap-On Lid, Black Granite')",1
"('Fellowes Twister Kit, Gray/Clear, 3/pkg', 'Maxell\xa0LTO Ultrium - 800 GB')",1
"('Fellowes Twister Kit, Gray/Clear, 3/pkg', 'Newell 325')",1
"('Fellowes Twister Kit, Gray/Clear, 3/pkg', 'Novimex Fabric Task Chair')",1
"('Fellowes Twister Kit, Gray/Clear, 3/pkg', 'Staples')",1
"('Fellowes Twister Kit, Gray/Clear, 3/pkg', 'Tennsco Regal Shelving Units')",1
"('Fellowes Twister Kit, Gray/Clear, 3/pkg', 'Xerox 1952')",1
"('Letter/Legal File Tote with Clear Snap-On Lid, Black Granite', 'Maxell\xa0LTO Ultrium - 800 GB')",1
"('Letter/Legal File Tote with Clear Snap-On Lid, Black Granite', 'Newell 325')",1
"('Letter/Legal File Tote with Clear Snap-On Lid, Black Granite', 'Novimex Fabric Task Chair')",1
"('Letter/Legal File Tote with Clear Snap-On Lid, Black Granite', 'Staples')",1
"('Letter/Legal File Tote with Clear Snap-On Lid, Black Granite', 'Tennsco Regal Shelving Units')",1
"('Letter/Legal File Tote with Clear Snap-On Lid, Black Granite', 'Xerox 1952')",1
"('Maxell\xa0LTO Ultrium - 800 GB', 'Newell 325')",1
"('Maxell\xa0LTO Ultrium - 800 GB', 'Novimex Fabric Task Chair')",1
"('Maxell\xa0LTO Ultrium - 800 GB', 'Staples')",1
"('Maxell\xa0LTO Ultrium - 800 GB', 'Tennsco Regal Shelving Units')",1
"('Maxell\xa0LTO Ultrium - 800 GB', 'Xerox 1952')",1
"('Newell 325', 'Novimex Fabric Task Chair')",1
"('Newell 325', 'Staples')",1
"('Newell 325', 'Tennsco Regal Shelving Units')",1
"('Newell 325', 'Xerox 1952')",1
"('Novimex Fabric Task Chair', 'Staples')",1
"('Novimex Fabric Task Chair', 'Tennsco Regal Shelving Units')",1
"('Novimex Fabric Task Chair', 'Xerox 1952')",1
"('Staples', 'Xerox 1952')",1
"('Tennsco Regal Shelving Units', 'Xerox 1952')",1
"('Imation\xa032GB Pocket Pro USB 3.0\xa0Flash Drive\xa0- 32 GB - Black - 1 P ...', 'Recycled Eldon Regeneration Jumbo File')",1
"('GBC Recycled Grain Textured Covers', 'Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book')",1
"('Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl', 'Insertable Tab Indexes For Data Binders')",1
"('Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl', 'Wilson Jones Custom Binder Spines & Labels')",1
"('Insertable Tab Indexes For Data Binders', 'Wilson Jones Custom Binder Spines & Labels')",1
"('Avery 499', 'Tensor Computer Mounted Lamp')",1
"('Array Parchment Paper, Assorted Colors', 'Staples')",1
"('DIXON Ticonderoga Erasable Checking Pencils', 'Logitech B530 USB\xa0Headset\xa0-\xa0headset\xa0- Full size, Binaural')",1
"('2300 Heavy-Duty Transfer File Systems by Perma', 'Global Leather Executive Chair')",1
"('Carina Double Wide Media Storage Towers in Natural & Black', 'Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back')",1
"('Carina Double Wide Media Storage Towers in Natural & Black', 'Hunt PowerHouse Electric Pencil Sharpener, Blue')",1
"('Carina Double Wide Media Storage Towers in Natural & Black', 'Prang Colored Pencils')",1
"('Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back', 'Hunt PowerHouse Electric Pencil Sharpener, Blue')",1
"('Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back', 'Prang Colored Pencils')",1
"('Hunt PowerHouse Electric Pencil Sharpener, Blue', 'Prang Colored Pencils')",1
"('G.E. Longer-Life Indoor Recessed Floodlight Bulbs', 'Wilson Jones 1"" Hanging DublLock Ring Binders')",1
"('Green Canvas Binder for 8-1/2"" x 14"" Sheets', 'Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units')",1
"('Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages', 'Bose SoundLink Bluetooth Speaker')",1
"('Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages', 'Kingston Digital DataTraveler 16GB USB 2.0')",1
"('Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages', 'Letter or Legal Size Expandable Poly String Tie Envelopes')",1
"('Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages', 'Pyle PMP37LED')",1
"('Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages', 'Staples')",1
"('Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages', 'Stiletto Hand Letter Openers')",1
"('Bose SoundLink Bluetooth Speaker', 'Kingston Digital DataTraveler 16GB USB 2.0')",1
"('Bose SoundLink Bluetooth Speaker', 'Letter or Legal Size Expandable Poly String Tie Envelopes')",1
"('Bose SoundLink Bluetooth Speaker', 'Pyle PMP37LED')",1
"('Bose SoundLink Bluetooth Speaker', 'Staples')",1
"('Bose SoundLink Bluetooth Speaker', 'Stiletto Hand Letter Openers')",1
"('Kingston Digital DataTraveler 16GB USB 2.0', 'Letter or Legal Size Expandable Poly String Tie Envelopes')",1
"('Kingston Digital DataTraveler 16GB USB 2.0', 'Pyle PMP37LED')",1
"('Kingston Digital DataTraveler 16GB USB 2.0', 'Staples')",1
"('Kingston Digital DataTraveler 16GB USB 2.0', 'Stiletto Hand Letter Openers')",1
"('Letter or Legal Size Expandable Poly String Tie Envelopes', 'Pyle PMP37LED')",1
"('Letter or Legal Size Expandable Poly String Tie Envelopes', 'Staples')",1
"('Letter or Legal Size Expandable Poly String Tie Envelopes', 'Stiletto Hand Letter Openers')",1
"('Pyle PMP37LED', 'Staples')",1
"('Pyle PMP37LED', 'Stiletto Hand Letter Openers')",1
"('Staples', 'Stiletto Hand Letter Openers')",1
"('Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats', 'Xerox 224')",1
"('Convenience Packs of Business Envelopes', 'Hunt Boston Vacuum Mount KS Pencil Sharpener')",1
"('Convenience Packs of Business Envelopes', 'Logitech G105 Gaming Keyboard')",1
"('Hunt Boston Vacuum Mount KS Pencil Sharpener', 'Logitech G105 Gaming Keyboard')",1
"('Fellowes Superior 10 Outlet Split Surge Protector', 'Xerox 1955')",1
"('Enermax Briskie RF Wireless Keyboard and Mouse Combo', 'Master Caster Door Stop, Brown')",1
"('WD My Passport Ultra 2TB Portable External Hard Drive', 'Wilson Jones Hanging Recycled Pressboard Data Binders')",1
"('BlackBerry Q10', 'Seth Thomas 14"" Day/Date Wall Clock')",1
"('Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut', 'Avery Legal 4-Ring Binder')",1
"('Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut', 'Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book')",1
"('Avery Legal 4-Ring Binder', 'Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book')",1
"('Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16', 'Xerox 195')",1
"('Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow', 'Plantronics CS 50-USB -\xa0headset\xa0- Convertible, Monaural')",1
"('Fellowes Super Stor/Drawer', 'GE DSL Phone Line Filter')",1
