Customer ID,TotalSpending,PurchaseFrequency,AverageOrderValue,Cluster
BT-11680,3196.752,20,159.8376,1
BV-11245,1523.273,14,108.80521428571429,2
BW-11065,385.516,3,128.50533333333334,2
BW-11110,4750.358,17,279.4328235294118,1
BW-11200,1738.406,10,173.8406,2
CA-11965,3789.7228,10,378.97228,2
CA-12055,1679.724,10,167.9724,2
CA-12265,2648.2872,17,155.78160000000003,1
CA-12310,1421.954,11,129.26854545454546,2
CA-12775,3041.566,17,178.9156470588235,1
CB-12025,6076.139,26,233.69765384615386,1
CB-12415,1949.2000000000003,12,162.43333333333337,2
CB-12535,4246.4555,19,223.49765789473685,1
CC-12100,1770.945,13,136.22653846153847,2
CC-12145,2471.65,11,224.69545454545457,2
CC-12220,3913.418,22,177.88263636363638,1
CC-12370,12129.072,11,1102.6429090909091,0
CC-12430,2870.05,19,151.05526315789476,1
CC-12475,1659.438,13,127.64907692307693,2
CC-12550,113.832,4,28.458,2
CC-12610,2540.631,12,211.71925,2
CC-12670,2269.7015,14,162.12153571428573,2
CC-12685,2854.1150000000002,12,237.8429166666667,2
CD-11920,2033.968,9,225.99644444444445,2
CD-11980,639.766,6,106.62766666666666,2
CD-12280,1205.584,13,92.73723076923078,2
CD-12790,1860.732,15,124.0488,2
CG-12040,904.468,9,100.49644444444444,2
CG-12520,1148.78,5,229.756,2
CH-12070,1537.236,4,384.309,2
CJ-11875,16.52,1,16.52,2
CJ-12010,11164.974,20,558.2487,0
CK-12205,3154.855,32,98.58921875,1
CK-12325,2945.321,12,245.44341666666665,2
CK-12595,2372.75,25,94.91,1
CK-12760,1582.109,14,113.0077857142857,2
CL-11890,1262.0140000000001,7,180.28771428571432,2
CL-12565,10880.546,28,388.5909285714286,0
CL-12700,2353.5860000000002,8,294.19825000000003,2
CM-11815,1673.888,10,167.3888,2
CM-11935,565.392,4,141.348,2
CM-12115,1661.6100000000001,7,237.37285714285716,2
CM-12160,2533.314,7,361.902,2
CM-12190,1475.144,7,210.73485714285715,2
CM-12235,2305.712,8,288.214,2
CM-12385,8954.019999999999,10,895.4019999999998,0
CM-12445,287.99,9,31.99888888888889,2
CM-12655,6339.5576,10,633.95576,0
CM-12715,3984.4524,13,306.49633846153847,1
CP-12085,5402.254,14,385.8752857142857,1
CP-12340,5888.275,15,392.5516666666666,1
CR-12580,2148.852,6,358.142,2
CR-12625,475.9,4,118.975,2
CR-12730,1600.55,6,266.7583333333333,2
CR-12820,1397.8724,7,199.69605714285714,2
CS-11845,1278.954,8,159.86925,2
CS-11860,537.632,7,76.80457142857142,2
CS-11950,3036.547,22,138.02486363636365,1
CS-12130,884.64,7,126.37714285714286,2
CS-12175,844.4580000000001,8,105.55725000000001,2
CS-12250,2754.216,28,98.36485714285713,1
CS-12355,3202.1620000000003,22,145.5528181818182,1
CS-12400,3651.8585000000003,14,260.8470357142857,1
CS-12460,550.644,6,91.774,2
CS-12490,1077.2285,9,119.69205555555556,2
CS-12505,5690.054999999999,9,632.2283333333332,0
CT-11995,3241.898,18,180.10544444444446,1
CV-12295,2830.6279999999997,13,217.74061538461535,2
CV-12805,2370.3136,19,124.75334736842105,1
CW-11905,1136.592,11,103.32654545454547,2
CY-12745,2900.026,11,263.63872727272724,2
Co-12640,1300.076,8,162.5095,2
DA-13450,156.76,8,19.595,2
DB-12910,2171.599,12,180.96658333333335,2
DB-12970,2839.2272,14,202.80194285714285,1
DB-13060,4531.646,13,348.58815384615383,1
DB-13120,2973.094,14,212.36385714285714,1
DB-13210,2332.5769999999998,21,111.07509523809523,1
DB-13270,4655.897,13,358.14592307692305,1
DB-13360,1081.466,6,180.24433333333332,2
DB-13405,1711.692,14,122.26371428571429,2
DB-13555,3908.8028,14,279.2002,1
DB-13615,1989.05,11,180.82272727272726,2
DB-13660,1155.202,10,115.5202,2
DC-12850,3336.168,18,185.34266666666667,1
DC-13285,1174.618,7,167.8025714285714,2
DD-13570,269.542,9,29.949111111111108,2
DE-13255,2550.874,9,283.43044444444445,2
DF-13135,2390.534,6,398.42233333333337,2
DG-13300,3195.818,8,399.47725,2
DH-13075,4932.872,23,214.47269565217394,1
DH-13675,1043.096,11,94.8269090909091,2
DJ-13420,2012.52,5,402.504,2
DJ-13510,2501.688,13,192.43753846153848,2
DJ-13630,3356.398,8,419.54975,2
DK-12835,3256.48,27,120.61037037037038,1
DK-12895,4282.176,15,285.4784,1
DK-12985,1687.04,8,210.88,2
DK-13090,2650.5570000000002,13,203.889,2
DK-13150,797.832,5,159.5664,2
DK-13225,4802.394,19,252.75757894736844,1
DK-13375,3318.486,23,144.28199999999998,1
DL-12865,1503.112,14,107.36514285714286,2
DL-12925,3272.2,14,233.72857142857143,1
DL-13315,1458.258,17,85.77988235294117,1
DL-13330,585.02,8,73.1275,2
DL-13495,3539.322,12,294.94350000000003,2
DM-12955,1322.034,9,146.89266666666668,2
DM-13015,6345.103,20,317.25515,1
DM-13345,4074.4719999999993,13,313.42092307692303,1
DM-13525,1376.792,10,137.67919999999998,2
DN-13690,2139.79,11,194.52636363636364,2
DO-13435,1300.0315,13,100.00242307692308,2
DO-13645,1267.316,11,115.21054545454545,2
DP-13000,1050.636,17,61.80211764705882,1
DP-13105,2215.002,14,158.21442857142856,2
DP-13165,1058.616,4,264.654,2
DP-13390,5480.723999999999,14,391.4802857142857,1
DR-12880,6528.034000000001,24,272.00141666666667,1
DR-12940,8350.868,13,642.3744615384616,0
DS-13030,1762.213,19,92.74805263157894,1
DS-13180,2881.8128,20,144.09064,1
DV-13045,1119.483,9,124.387,2
DV-13465,3341.587,15,222.77246666666667,1
DW-13195,1080.751,9,120.08344444444444,2
DW-13480,5271.628,11,479.2389090909091,0
DW-13540,344.08,9,38.23111111111111,2
DW-13585,1204.854,10,120.4854,2
Dl-13600,755.602,6,125.93366666666667,2
Dp-13240,7198.761,29,248.2331379310345,1
EA-14035,2846.705,25,113.8682,1
EB-13705,3644.978,12,303.7481666666667,2
EB-13750,3236.314,20,161.8157,1
EB-13840,4358.128,8,544.766,0
EB-13870,2767.219,11,251.56536363636363,2
EB-13930,944.6000000000001,7,134.94285714285715,2
EB-13975,1643.255,6,273.87583333333333,2
EB-14110,3071.126,11,279.19327272727276,2
EB-14170,1186.326,7,169.47514285714286,2
EC-14050,461.914,7,65.98771428571429,2
ED-13885,3484.92,14,248.92285714285714,1
EG-13900,1832.02,9,203.55777777777777,2
EH-13765,10310.88,32,322.215,1
EH-13945,684.171,17,40.24535294117647,2
EH-13990,825.95,8,103.24375,2
EH-14005,1219.53,11,110.86636363636363,2
EH-14125,3082.653,18,171.2585,1
EH-14185,923.884,8,115.4855,2
EJ-13720,2162.174,8,270.27175,2
EJ-14155,2656.691,8,332.086375,2
EK-13795,1303.4779999999998,4,325.86949999999996,2
EL-13735,124.28,2,62.14,2
EM-13810,2567.0099999999998,7,366.7157142857142,2
EM-13825,2339.598,16,146.224875,1
EM-13960,933.704,6,155.61733333333333,2
EM-14065,228.99,6,38.165,2
EM-14095,1041.042,10,104.10419999999999,2
EM-14140,4588.436,21,218.49695238095237,1
EM-14200,366.822,4,91.7055,2
EN-13780,2199.366,9,244.374,2
EP-13915,5478.0608,31,176.71163870967743,1
ER-13855,1245.788,5,249.1576,2
ES-14020,3510.458,8,438.80725,2
ES-14080,4657.924,20,232.8962,1
FA-14230,2984.054,17,175.53258823529413,1
FC-14245,3418.742,14,244.19585714285716,1
FC-14335,3889.366,10,388.9366,2
FG-14260,1383.144,11,125.74036363636364,2
FH-14275,4256.272,21,202.67961904761904,1
FH-14350,2271.284,14,162.23457142857143,2
FH-14365,6987.196,13,537.4766153846153,0
FM-14215,2456.638,15,163.77586666666667,1
FM-14290,3736.198,20,186.8099,1
FM-14380,2523.266,14,180.23328571428573,2
FO-14305,2678.438,15,178.56253333333333,1
FP-14320,4046.746,14,289.0532857142857,1
FW-14395,79.75,3,26.583333333333332,2
GA-14515,3919.7760000000003,14,279.98400000000004,1
GA-14725,1398.382,22,63.56281818181819,1
GB-14530,1568.44,20,78.422,1
GB-14575,4716.2880000000005,16,294.76800000000003,1
GD-14590,1888.07,6,314.67833333333334,2
GG-14650,2224.0,24,92.66666666666667,1
GH-14410,2819.467,17,165.851,1
GH-14425,4172.8460000000005,10,417.28460000000007,2
GH-14485,1361.2440000000001,3,453.74800000000005,2
GH-14665,146.9408,3,48.980266666666665,2
GK-14620,6497.27,14,464.09071428571434,0
GM-14440,3582.82,11,325.7109090909091,2
GM-14455,3078.6240000000003,12,256.552,2
GM-14500,1255.6819999999998,13,96.59092307692306,2
GM-14680,3163.628,11,287.60254545454546,2
GM-14695,6049.966,11,549.9969090909091,0
GP-14740,236.53,5,47.306,2
GR-14560,1284.38,5,256.87600000000003,2
GT-14635,9351.212,6,1558.5353333333333,0
GT-14710,11820.119999999999,29,407.5903448275862,0
GT-14755,226.436,7,32.348,2
GW-14605,2189.0190000000002,9,243.22433333333336,2
GZ-14470,4355.15,14,311.08214285714286,1
GZ-14545,2454.622,5,490.9244,2
HA-14905,2163.3,10,216.33,2
HA-14920,2584.158,18,143.56433333333334,1
HD-14785,251.36,7,35.90857142857143,2
HE-14800,883.532,11,80.32109090909091,2
HF-14995,2533.164,19,133.32442105263158,1
HG-14845,785.628,10,78.56280000000001,2
HG-14965,3247.642,17,191.03776470588235,1
HG-15025,3690.284,11,335.4803636363636,2
HH-15010,218.668,6,36.44466666666667,2
HJ-14875,358.1,6,59.68333333333334,2
HK-14890,4877.784000000001,15,325.1856,1
HL-15040,12873.297999999999,11,1170.2998181818182,0
HM-14860,8236.7648,20,411.83824000000004,0
HM-14980,736.276,7,105.18228571428571,2
HP-14815,1990.314,10,199.03140000000002,2
HR-14770,1299.288,13,99.94523076923078,2
HR-14830,5248.787,14,374.91335714285714,1
HW-14935,9300.253999999999,20,465.01269999999994,0
HZ-14950,886.52,6,147.75333333333333,2
IG-15085,744.574,7,106.36771428571429,2
IL-15100,5040.736,14,360.0525714285714,1
IM-15055,2872.63,4,718.1575,0
IM-15070,4930.474,21,234.7844761904762,1
JA-15970,6491.026,24,270.45941666666664,1
JB-15400,1791.605,16,111.9753125,1
JB-15925,900.552,8,112.569,2
JB-16000,644.1188,7,92.01697142857142,2
JB-16045,2518.115,9,279.79055555555556,2
JC-15340,71.263,4,17.81575,2
JC-15385,1058.108,4,264.527,2
JC-15775,2772.055,16,173.2534375,1
JC-16105,858.576,9,95.39733333333334,2
JD-15790,2152.3520000000003,7,307.4788571428572,2
JD-15895,7610.8640000000005,32,237.83950000000002,1
JD-16015,385.43,11,35.03909090909091,2
JD-16060,695.442,6,115.907,2
JD-16150,8828.0305,17,519.2959117647059,0
JE-15475,1388.682,13,106.8216923076923,2
JE-15610,7754.976,20,387.74879999999996,1
JE-15715,8697.842999999999,22,395.3564999999999,0
JE-15745,6760.815,23,293.94847826086954,1
JE-16165,2697.248,7,385.3211428571429,2
JF-15190,2279.5860000000002,19,119.9782105263158,1
JF-15295,955.124,14,68.22314285714286,2
JF-15355,1911.8439999999998,16,119.49024999999999,1
JF-15415,2371.448,14,169.38914285714284,2
JF-15490,1082.918,15,72.19453333333333,2
JF-15565,4198.332,16,262.39575,1
JG-15115,2358.676,7,336.9537142857143,2
JG-15160,6366.392,18,353.68844444444443,1
JG-15310,2240.58,11,203.6890909090909,2
JG-15805,1507.018,9,167.44644444444444,2
JH-15430,309.281,7,44.183,2
JH-15820,528.91,8,66.11375,2
JH-15910,959.477,9,106.60855555555555,2
JH-15985,7954.9980000000005,14,568.2141428571429,0
JH-16180,2256.394,5,451.27879999999993,2
JJ-15445,709.178,6,118.19633333333333,2
JJ-15760,195.0,3,65.0,2
JK-15205,4427.142,13,340.5493846153846,1
JK-15325,383.812,4,95.953,2
JK-15370,2709.632,17,159.39011764705882,1
JK-15625,3760.028,12,313.33566666666667,1
JK-15640,4760.433999999999,12,396.7028333333333,1
JK-15730,4867.2,20,243.35999999999999,1
JK-16090,3747.668,9,416.4075555555556,2
JK-16120,2932.484,17,172.4990588235294,1
JL-15130,1214.956,12,101.24633333333333,2
JL-15175,1571.523,7,224.5032857142857,2
JL-15235,2203.7,10,220.36999999999998,2
JL-15505,3173.874,17,186.6984705882353,1
JL-15835,9799.923,34,288.23302941176473,1
JL-15850,2725.256,11,247.75054545454543,2
JM-15250,3159.122,19,166.26957894736842,1
JM-15265,1804.1460000000002,13,138.78046153846157,2
JM-15535,1733.443,10,173.3443,2
JM-15580,303.948,7,43.421142857142854,2
JM-15655,864.947,12,72.07891666666667,2
JM-15865,7625.076,13,586.5443076923077,0
JM-16195,2833.9260000000004,19,149.15400000000002,1
JO-15145,3254.949,13,250.3806923076923,1
JO-15280,1934.272,11,175.84290909090907,2
JO-15550,1090.838,11,99.1670909090909,2
JP-15460,1669.135,15,111.27566666666667,2
JP-15520,3635.594,16,227.224625,1
JP-16135,1707.71,13,131.3623076923077,2
JR-15670,1156.658,3,385.55266666666665,2
JR-15700,863.88,1,863.88,0
JR-16210,2201.686,10,220.16860000000003,2
JS-15595,1417.654,8,177.20675,2
JS-15685,1131.064,11,102.82400000000001,2
JS-15880,3868.02,9,429.78,2
JS-15940,469.169,8,58.646125,2
JS-16030,2516.494,18,139.80522222222223,1
JW-15220,7721.714,14,551.551,0
JW-15955,1244.086,11,113.09872727272727,2
JW-16075,1428.731,7,204.10442857142857,2
KA-16525,1519.506,11,138.13690909090909,2
KB-16240,3152.6150000000002,10,315.2615,2
KB-16315,1569.464,22,71.33927272727273,1
KB-16405,908.821,9,100.98011111111111,2
KB-16585,2744.742,23,119.33660869565219,1
KB-16600,983.922,9,109.32466666666667,2
KC-16255,2120.954,10,212.0954,2
KC-16540,3908.2619999999997,5,781.6524,0
KC-16675,1146.05,7,163.72142857142856,2
KD-16270,8282.358,16,517.647375,0
KD-16345,1888.964,10,188.8964,2
KD-16495,8181.256,28,292.1877142857143,1
KD-16615,2243.51,13,172.57769230769233,2
KE-16420,1686.7312,15,112.44874666666666,2
KF-16285,10604.266,18,589.1258888888889,0
KH-16330,3312.864,18,184.048,1
KH-16360,3100.612,14,221.47228571428573,1
KH-16510,5952.859,23,258.81995652173913,1
KH-16630,3918.966,17,230.52741176470587,1
KH-16690,5990.799,15,399.3866,1
KL-16555,5016.488,22,228.02218181818182,1
KL-16645,14175.229,29,488.801,0
KM-16225,2260.958,19,118.99778947368422,1
KM-16375,5620.186,20,281.0093,1
KM-16660,453.538,9,50.39311111111111,2
KM-16720,4909.472,28,175.33828571428572,1
KN-16390,2617.272,17,153.95717647058822,1
KN-16450,2171.962,8,271.49525,2
KN-16705,2280.58,15,152.03866666666667,1
KS-16300,88.47200000000001,4,22.118000000000002,2
KT-16465,3057.1,14,218.3642857142857,1
KT-16480,4642.088400000001,13,357.0837230769231,1
KW-16435,4416.52,10,441.65200000000004,2
KW-16570,449.096,5,89.8192,2
LA-16780,8673.222,26,333.5854615384615,1
LB-16735,50.188,3,16.729333333333333,2
LB-16795,4985.676,24,207.7365,1
LC-16870,2580.7039999999997,30,86.02346666666666,1
LC-16885,7663.126,23,333.17939130434786,1
LC-16930,4492.946,14,320.9247142857143,1
LC-16960,3246.6259999999997,7,463.80371428571425,2
LC-17050,2095.064,9,232.78488888888887,2
LC-17140,2633.582,19,138.60957894736842,1
LD-16855,5.304,1,5.304,2
LD-17005,1961.9339999999997,7,280.2762857142857,2
LE-16810,1469.4499999999998,9,163.2722222222222,2
LF-17185,3930.509,16,245.6568125,1
LH-16750,287.426,3,95.80866666666667,2
LH-16900,2295.332,15,153.02213333333333,1
LH-17020,318.239,6,53.03983333333333,2
LH-17155,1739.6889999999999,19,91.56257894736841,1
LL-16840,2741.204,12,228.43366666666668,2
LM-17065,1346.774,7,192.3962857142857,2
LO-17170,644.35,9,71.59444444444445,2
LP-17080,756.606,9,84.06733333333334,2
LP-17095,3653.399,15,243.55993333333333,1
LR-16915,5142.892,16,321.43075,1
LR-17035,1879.306,12,156.60883333333334,2
LS-16945,2845.27,14,203.23357142857142,1
LS-16975,2988.674,22,135.8488181818182,1
LS-17200,1010.256,14,72.16114285714285,2
LS-17230,368.88,6,61.48,2
LS-17245,1008.136,12,84.01133333333333,2
LT-16765,329.876,3,109.95866666666666,2
LT-17110,2936.252,14,209.73228571428572,1
LW-16825,2238.061,15,149.20406666666668,1
LW-16990,3230.308,11,293.66436363636365,2
LW-17125,1259.04,5,251.808,2
LW-17215,5420.514,15,361.3676,1
MA-17560,4299.161,34,126.44591176470588,1
MA-17995,2453.284,12,204.44033333333334,2
MB-17305,1548.702,19,81.51063157894737,1
MB-18085,1428.231,10,142.8231,2
MC-17275,2725.982,13,209.69092307692307,2
MC-17425,4432.138,10,443.2138,2
MC-17575,1303.893,11,118.53572727272727,2
MC-17590,2426.067,17,142.70982352941178,1
MC-17605,2258.192,18,125.45511111111111,1
MC-17635,795.154,8,99.39425,2
MC-17845,3805.714,14,271.83671428571427,1
MC-18100,2218.98,19,116.78842105263158,1
MC-18130,1581.998,11,143.818,2
MD-17350,3766.382,17,221.5518823529412,1
MD-17860,1204.9099999999999,8,150.61374999999998,2
ME-17320,10663.728000000001,22,484.71490909090915,0
ME-17725,1908.4532,13,146.80409230769231,2
ME-18010,1256.944,6,209.49066666666667,2
MF-17665,937.039,8,117.129875,2
MF-18250,1758.3,12,146.525,2
MG-17650,3785.276,14,270.37685714285715,1
MG-17680,2350.188,10,235.0188,2
MG-17695,1342.282,7,191.7545714285714,2
MG-17875,1242.833,7,177.54757142857144,2
MG-17890,776.384,13,59.72184615384616,2
MG-18145,3061.543,8,382.692875,2
MG-18205,16.739,2,8.3695,2
MH-17290,2394.025,13,184.15576923076924,2
MH-17440,400.01599999999996,9,44.44622222222222,2
MH-17455,2456.1820000000002,11,223.28927272727276,2
MH-17620,1252.8,6,208.79999999999998,2
MH-17785,2203.7780000000002,11,200.34345454545456,2
MH-18025,2984.948,10,298.4948,2
MH-18115,5503.093,22,250.1405909090909,1
MJ-17740,6320.746,15,421.38306666666665,1
MK-17905,2302.368,17,135.43341176470588,1
MK-18160,1031.602,11,93.78200000000001,2
ML-17395,2722.843,20,136.14215,1
ML-17410,2921.5,15,194.76666666666668,1
ML-17755,2071.914,13,159.37800000000001,2
ML-18040,742.082,4,185.5205,2
ML-18265,162.23200000000003,3,54.07733333333334,2
MM-17260,1314.0230000000001,6,219.00383333333335,2
MM-17920,3794.08,16,237.13,1
MM-18055,2749.881,19,144.7305789473684,1
MM-18280,775.414,12,64.61783333333334,2
MN-17935,2477.946,10,247.7946,2
MO-17500,922.487,5,184.4974,2
MO-17800,1687.027,11,153.3660909090909,2
MO-17950,154.288,4,38.572,2
MP-17470,3206.132,14,229.00942857142857,1
MP-17965,3983.6420000000003,20,199.18210000000002,1
MP-18175,5087.92,19,267.78526315789475,1
MR-17545,639.178,6,106.52966666666667,2
MS-17365,7443.6900000000005,24,310.15375,1
MS-17530,475.65599999999995,7,67.95085714285713,2
MS-17710,1613.402,15,107.56013333333334,2
MS-17770,3144.678,19,165.5093684210526,1
MS-17830,370.348,5,74.06960000000001,2
MS-17980,855.116,11,77.73781818181818,2
MT-17815,2890.1389999999997,10,289.0139,2
MT-18070,1319.4497999999999,11,119.94998181818181,2
MV-17485,1560.05,15,104.00333333333333,2
MV-18190,1734.574,11,157.68854545454545,2
MW-18220,5341.900000000001,14,381.56428571428575,1
MW-18235,5253.876,3,1751.2920000000001,0
MY-17380,2254.285,13,173.40653846153845,2
MY-18295,4152.696,21,197.74742857142857,1
MZ-17335,593.606,6,98.93433333333333,2
MZ-17515,2564.906,10,256.4906,2
NB-18580,273.87199999999996,2,136.93599999999998,2
NB-18655,1972.599,17,116.03523529411764,1
NC-18340,2461.404,17,144.7884705882353,1
NC-18415,2218.9900000000002,14,158.49928571428572,2
NC-18535,8241.739,15,549.4492666666666,0
NC-18625,1821.7420000000002,9,202.4157777777778,2
ND-18370,4326.139,18,240.34105555555556,1
ND-18460,2893.455,8,361.681875,2
NF-18385,8322.826,14,594.4875714285714,0
NF-18475,377.162,4,94.2905,2
NF-18595,2031.472,12,169.28933333333333,2
NG-18355,1869.58,16,116.84875,1
NG-18430,1395.938,9,155.10422222222223,2
NH-18610,2673.29,11,243.02636363636364,2
NK-18490,572.048,11,52.004363636363635,2
NL-18310,1418.09,10,141.809,2
NM-18445,6459.344,14,461.3817142857143,0
NM-18520,2161.9790000000003,15,144.13193333333336,1
NP-18325,5529.62,21,263.3152380952381,1
NP-18670,3908.402,10,390.8402,2
NP-18685,1228.698,7,175.52828571428572,2
NP-18700,7903.1825,13,607.9371153846154,0
NR-18550,2367.277,13,182.09823076923078,2
NS-18505,2575.863,15,171.7242,1
NS-18640,2964.823,26,114.03165384615384,1
NW-18400,7234.014,22,328.8188181818182,1
NZ-18565,2488.31,20,124.4155,1
ON-18715,1567.52,15,104.50133333333333,2
OT-18730,3818.624,10,381.8624,2
PA-19060,729.408,7,104.20114285714286,2
PB-18805,740.356,10,74.0356,2
PB-19105,688.324,5,137.66479999999999,2
PB-19150,1456.95,11,132.45000000000002,2
PB-19210,132.738,2,66.369,2
PC-18745,1832.064,5,366.4128,2
PC-19000,1061.488,3,353.82933333333335,2
PF-19120,9062.864,19,476.99284210526315,0
PF-19165,2770.0,10,277.0,2
PF-19225,2206.128,10,220.61280000000002,2
PG-18820,3086.9069999999997,26,118.72719230769229,1
PG-18895,1987.164,17,116.892,1
PH-18790,729.648,2,364.824,2
PJ-18835,1220.0900000000001,13,93.85307692307694,2
PJ-19015,1824.2340000000002,10,182.42340000000002,2
PK-18910,1441.152,3,480.384,2
PK-19075,8646.934,25,345.87735999999995,1
PL-18925,239.481,8,29.935125,2
PM-18940,1405.402,4,351.3505,2
PM-19135,4115.662,7,587.9517142857143,0
PN-18775,1467.152,13,112.85784615384615,2
PO-18850,7473.8282,22,339.7194636363636,1
PO-18865,2493.214,13,191.7856923076923,2
PO-19180,4893.043,18,271.8357222222222,1
PO-19195,1056.858,10,105.6858,2
PP-18955,7252.608,34,213.312,1
PR-18880,1840.1779999999999,12,153.34816666666666,2
PS-18760,2181.479,21,103.87995238095237,1
PS-18970,1278.639,13,98.35684615384615,2
PS-19045,6843.634,13,526.4333846153846,0
PT-19090,160.572,7,22.93885714285714,2
PV-18985,2876.0460000000003,13,221.2343076923077,2
PW-19030,3454.916,13,265.76276923076927,1
PW-19240,3922.415,12,326.86791666666664,1
QJ-19255,6108.338,13,469.8721538461538,0
RA-19285,2617.906,17,153.9944705882353,1
RA-19885,3832.314,15,255.4876,1
RA-19915,4793.543000000001,22,217.88831818181822,1
RA-19945,1686.9225,9,187.43583333333333,2
