Product Name,Recommended Product,CoOccurrence,Support,Confidence,Lift
24-Hour Round Wall Clock,Things To Do Today Pad,1,0.0002,0.1667,119.26
24-Hour Round Wall Clock,Wilson Jones Turn Tabs Binder Tool for Ring Binders,1,0.0002,0.1667,64.22
24-Hour Round Wall Clock,Logitech Media Keyboard K200,1,0.0002,0.1667,208.71
24-Hour Round Wall Clock,Eldon Radial Chair Mat for Low to Medium Pile Carpets,1,0.0002,0.1667,139.14
3.6 Cubic Foot Counter Height Office Refrigerator,Xerox 1988,1,0.0002,0.2,111.31
3.6 Cubic Foot Counter Height Office Refrigerator,Cardinal Holdit Business Card Pockets,1,0.0002,0.2,125.22
3.6 Cubic Foot Counter Height Office Refrigerator,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,1,0.0002,0.2,1001.8
3.6 Cubic Foot Counter Height Office Refrigerator,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",1,0.0002,0.2,111.31
3.6 Cubic Foot Counter Height Office Refrigerator,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",1,0.0002,0.2,333.93
36X48 HARDFLOOR CHAIRMAT,"Situations Contoured Folding Chairs, 4/Set",1,0.0002,0.1667,55.66
36X48 HARDFLOOR CHAIRMAT,G.E. Halogen Desk Lamp Bulbs,1,0.0002,0.1667,166.97
36X48 HARDFLOOR CHAIRMAT,Standard Rollaway File with Lock,1,0.0002,0.1667,83.48
36X48 HARDFLOOR CHAIRMAT,Acco Side-Punched Conventional Columnar Pads,1,0.0002,0.1667,208.71
36X48 HARDFLOOR CHAIRMAT,Avery Fluorescent Highlighter Four-Color Set,1,0.0002,0.1667,104.35
"3D Systems Cube Printer, 2nd Generation, Magenta","Global High-Back Leather Tilter, Burgundy",1,0.0002,0.5,178.89
"3D Systems Cube Printer, 2nd Generation, Magenta",Samsung HM1900 Bluetooth Headset,1,0.0002,0.5,357.79
"3D Systems Cube Printer, 2nd Generation, Magenta",Stacking Trays by OIC,1,0.0002,0.5,417.42
"3D Systems Cube Printer, 2nd Generation, Magenta",Wilson Jones Standard D-Ring Binders,1,0.0002,0.5,313.06
"3D Systems Cube Printer, 2nd Generation, White",Vinyl Sectional Post Binders,1,0.0002,0.5,227.68
"3D Systems Cube Printer, 2nd Generation, White",Xerox 209,1,0.0002,0.5,500.9
3M Hangers With Command Adhesive,Lexmark MarkNet N8150 Wireless Print Server,1,0.0002,0.125,313.06
3M Hangers With Command Adhesive,AT&T TR1909W,1,0.0002,0.125,156.53
3M Hangers With Command Adhesive,First Data FD10 PIN Pad,1,0.0002,0.125,125.22
3M Hangers With Command Adhesive,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",1,0.0002,0.125,104.35
3M Hangers With Command Adhesive,"Seth Thomas 14"" Day/Date Wall Clock",1,0.0002,0.125,104.35
3M Office Air Cleaner,Acco D-Ring Binder w/DublLock,1,0.0002,0.5,278.28
3M Office Air Cleaner,Logitech G700s Rechargeable Gaming Mouse,1,0.0002,0.5,278.28
3M Office Air Cleaner,Acco 3-Hole Punch,1,0.0002,0.5,278.28
3M Organizer Strips,"Peel & Seel Recycled Catalog Envelopes, Brown",1,0.0002,0.1429,119.26
3M Organizer Strips,Toshiba IPT2010-SD IP Telephone,1,0.0002,0.1429,89.45
3M Organizer Strips,Xerox 2000,1,0.0002,0.1429,143.11
3M Organizer Strips,Acco Suede Grain Vinyl Round Ring Binder,1,0.0002,0.1429,89.45
3M Organizer Strips,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",1,0.0002,0.1429,79.51
3M Polarizing Light Filter Sleeves,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",1,0.0002,0.25,208.71
3M Polarizing Light Filter Sleeves,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",1,0.0002,0.25,104.35
3M Polarizing Light Filter Sleeves,Logitech Z-906 Speaker sys - home theater - 5.1-CH,1,0.0002,0.25,313.06
3M Polarizing Light Filter Sleeves,GBC ProClick Spines for 32-Hole Punch,1,0.0002,0.25,250.45
3M Polarizing Light Filter Sleeves,Newell 333,1,0.0002,0.25,113.84
"3M Polarizing Task Lamp with Clamp Arm, Light Gray","Executive Impressions 13"" Clairmont Wall Clock",1,0.0002,0.25,156.53
"3M Polarizing Task Lamp with Clamp Arm, Light Gray","GBC Laser Imprintable Binding System Covers, Desert Sand",1,0.0002,0.25,208.71
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Plantronics Cordless Phone Headset with In-line Volume - M214C,1,0.0002,0.25,208.71
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Xerox 2000,1,0.0002,0.25,250.45
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Microsoft Natural Ergonomic Keyboard 4000,1,0.0002,0.25,250.45
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,2300 Heavy-Duty Transfer File Systems by Perma,1,0.0002,0.25,313.06
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,GBC VeloBinder Electric Binding Machine,1,0.0002,0.25,313.06
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,Lock-Up Easel 'Spel-Binder',1,0.0002,0.25,178.89
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,Petty Cash Envelope,1,0.0002,0.25,417.42
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,SAFCO Boltless Steel Shelving,1,0.0002,0.25,125.22
4009 Highlighters,Iceberg Mobile Mega Data/Printer Cart ,1,0.0002,1.0,626.12
4009 Highlighters,Logitech Wireless Marathon Mouse M705,1,0.0002,1.0,626.12
4009 Highlighters by Sanford,"O'Sullivan Elevations Bookcase, Cherry Finish",1,0.0002,0.125,125.22
4009 Highlighters by Sanford,Tennsco 6- and 18-Compartment Lockers,1,0.0002,0.125,56.92
4009 Highlighters by Sanford,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1,0.0002,0.125,78.27
4009 Highlighters by Sanford,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1,0.0002,0.125,104.35
4009 Highlighters by Sanford,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,1,0.0002,0.125,62.61
50 Colored Long Pencils,Hon Olson Stacker Stools,1,0.0002,0.2,100.18
50 Colored Long Pencils,Brown Kraft Recycled Envelopes,1,0.0002,0.2,200.36
50 Colored Long Pencils,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,1,0.0002,0.2,333.93
50 Colored Long Pencils,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,1,0.0002,0.2,143.11
50 Colored Long Pencils,Fellowes Bankers Box Recycled Super Stor/Drawer,1,0.0002,0.2,143.11
"6"" Cubicle Wall Clock, Black",Canon PC1060 Personal Laser Copier,1,0.0002,0.25,313.06
"6"" Cubicle Wall Clock, Black",Global Comet Stacking Arm Chair,1,0.0002,0.25,250.45
"6"" Cubicle Wall Clock, Black","Global Task Chair, Black",1,0.0002,0.25,250.45
"6"" Cubicle Wall Clock, Black",Newell 329,1,0.0002,0.25,626.12
"6"" Cubicle Wall Clock, Black",Kensington 4 Outlet MasterPiece Compact Power Control Center,1,0.0002,0.25,178.89
9-3/4 Diameter Round Wall Clock,Honeywell Quietcare HEPA Air Cleaner,1,0.0002,0.125,104.35
9-3/4 Diameter Round Wall Clock,Self-Adhesive Address Labels for Typewriters by Universal,1,0.0002,0.125,89.45
9-3/4 Diameter Round Wall Clock,Xerox 1916,1,0.0002,0.125,89.45
9-3/4 Diameter Round Wall Clock,Avery 514,1,0.0002,0.125,156.53
9-3/4 Diameter Round Wall Clock,Cisco SPA508G,1,0.0002,0.125,125.22
"ACCOHIDE 3-Ring Binder, Blue, 1""",Belkin 8 Outlet Surge Protector,1,0.0002,0.0769,55.04
"ACCOHIDE 3-Ring Binder, Blue, 1""",Portable Personal File Box,1,0.0002,0.0769,64.22
"ACCOHIDE 3-Ring Binder, Blue, 1""",X-Rack File for Hanging Folders,1,0.0002,0.0769,42.81
"ACCOHIDE 3-Ring Binder, Blue, 1""",Staples,1,0.0002,0.0769,1.74
"ACCOHIDE 3-Ring Binder, Blue, 1""",Lenovo 17-Key USB Numeric Keypad,1,0.0002,0.0769,77.06
ACCOHIDE Binder by Acco,"Global Leather Task Chair, Black",1,0.0002,0.25,156.53
ACCOHIDE Binder by Acco,AT&T CL82213,1,0.0002,0.25,250.45
ACCOHIDE Binder by Acco,Logitech Desktop MK120 Mouse and keyboard Combo,1,0.0002,0.25,104.35
ACCOHIDE Binder by Acco,Xerox 1940,1,0.0002,0.25,313.06
APC 7 Outlet Network SurgeArrest Surge Protector,Case Logic 2.4GHz Wireless Keyboard,1,0.0002,0.125,78.27
APC 7 Outlet Network SurgeArrest Surge Protector,Xerox 1941,1,0.0002,0.125,125.22
APC 7 Outlet Network SurgeArrest Surge Protector,Okidata MB760 Printer,1,0.0002,0.125,313.06
APC 7 Outlet Network SurgeArrest Surge Protector,Xerox 189,1,0.0002,0.125,104.35
APC 7 Outlet Network SurgeArrest Surge Protector,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",1,0.0002,0.125,78.27
ARKON Windshield Dashboard Air Vent Car Mount Holder,"Lifetime Advantage Folding Chairs, 4/Carton",1,0.0002,0.25,178.89
ARKON Windshield Dashboard Air Vent Car Mount Holder,Bagged Rubber Bands,1,0.0002,0.25,250.45
ARKON Windshield Dashboard Air Vent Car Mount Holder,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",1,0.0002,0.25,178.89
ARKON Windshield Dashboard Air Vent Car Mount Holder,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,1,0.0002,0.25,417.42
ARKON Windshield Dashboard Air Vent Car Mount Holder,Microsoft Sculpt Comfort Mouse,1,0.0002,0.25,125.22
AT&T 1070 Corded Phone,Dana Halogen Swing-Arm Architect Lamp,1,0.0002,0.3333,278.28
AT&T 1070 Corded Phone,Fellowes Superior 10 Outlet Split Surge Protector,1,0.0002,0.3333,185.52
AT&T 1070 Corded Phone,Sharp AL-1530CS Digital Copier,1,0.0002,0.3333,417.42
AT&T 1070 Corded Phone,Xerox 21,1,0.0002,0.3333,238.52
AT&T 1070 Corded Phone,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",1,0.0002,0.3333,333.93
AT&T 1080 Corded phone,Acco Hanging Data Binders,1,0.0002,0.1429,102.22
AT&T 1080 Corded phone,Fashion Color Clasp Envelopes,1,0.0002,0.1429,238.52
AT&T 1080 Corded phone,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,1,0.0002,0.1429,47.7
AT&T 1080 Corded phone,"Plantronics CS 50-USB - headset - Convertible, Monaural",1,0.0002,0.1429,143.11
AT&T 1080 Corded phone,O'Sullivan Living Dimensions 2-Shelf Bookcases,1,0.0002,0.1429,71.56
AT&T 1080 Phone,Staples,1,0.0002,0.3333,7.52
AT&T 17929 Lendline Telephone,Surelock Post Binders,1,0.0002,0.1,62.61
AT&T 17929 Lendline Telephone,Deflect-o Glass Clear Studded Chair Mats,1,0.0002,0.1,71.56
AT&T 17929 Lendline Telephone,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",1,0.0002,0.1,125.22
AT&T 17929 Lendline Telephone,"Hunt PowerHouse Electric Pencil Sharpener, Blue",1,0.0002,0.1,50.09
AT&T 17929 Lendline Telephone,Newell 314,1,0.0002,0.1,71.56
AT&T 841000 Phone,DAX Black Cherry Wood-Tone Poster Frame,1,0.0002,0.1429,89.45
AT&T 841000 Phone,GBC Linen Binding Covers,1,0.0002,0.1429,119.26
AT&T 841000 Phone,Round Specialty Laser Printer Labels,1,0.0002,0.1429,119.26
AT&T 841000 Phone,Ampad #10 Peel & Seel Holiday Envelopes,1,0.0002,0.1429,238.52
AT&T 841000 Phone,Bevis 36 x 72 Conference Tables,1,0.0002,0.1429,89.45
AT&T CL2909,Acme Softgrip Scissors,1,0.0002,0.3333,417.42
AT&T CL2909,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,1,0.0002,0.3333,208.71
AT&T CL2909,VTech DS6151,1,0.0002,0.3333,208.71
AT&T CL2909,Rogers Handheld Barrel Pencil Sharpener,1,0.0002,0.3333,238.52
AT&T CL82213,Crayola Colored Pencils,1,0.0002,0.2,91.07
AT&T CL82213,Martin Yale Chadless Opener Electric Letter Opener,1,0.0002,0.2,166.97
AT&T CL82213,Newell 321,1,0.0002,0.2,250.45
AT&T CL82213,Xerox 1957,1,0.0002,0.2,166.97
AT&T CL82213,Adjustable Depth Letter/Legal Cart,1,0.0002,0.2,91.07
AT&T CL83451 4-Handset Telephone,Advantus Push Pins,1,0.0002,0.25,178.89
AT&T CL83451 4-Handset Telephone,Advantus Motivational Note Cards,1,0.0002,0.25,250.45
AT&T CL83451 4-Handset Telephone,"Fiskars 8"" Scissors, 2/Pack",1,0.0002,0.25,313.06
AT&T CL83451 4-Handset Telephone,"Hunt PowerHouse Electric Pencil Sharpener, Blue",1,0.0002,0.25,125.22
AT&T CL83451 4-Handset Telephone,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,1,0.0002,0.25,125.22
AT&T SB67148 SynJ,Eldon Simplefile Box Office,1,0.0002,0.3333,208.71
AT&T SB67148 SynJ,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,1,0.0002,0.3333,278.28
AT&T SB67148 SynJ,"Eldon Base for stackable storage shelf, platinum",1,0.0002,0.3333,238.52
AT&T SB67148 SynJ,Ibico EB-19 Dual Function Manual Binding System,1,0.0002,0.3333,208.71
AT&T SB67148 SynJ,Jabra Supreme Plus Driver Edition Headset,1,0.0002,0.3333,333.93
AT&T TR1909W,Xerox 1945,1,0.0002,0.25,156.53
AT&T TR1909W,HP Standard 104 key PS/2 Keyboard,1,0.0002,0.25,208.71
AT&T TR1909W,Nokia Lumia 521 (T-Mobile),1,0.0002,0.25,250.45
AT&T TR1909W,3M Hangers With Command Adhesive,1,0.0002,0.25,156.53
AT&T TR1909W,First Data FD10 PIN Pad,1,0.0002,0.25,250.45
Aastra 57i VoIP phone,AT&T CL82213,1,0.0002,0.1429,143.11
Aastra 57i VoIP phone,Avery 480,1,0.0002,0.1429,119.26
Aastra 57i VoIP phone,Avery 476,1,0.0002,0.1429,71.56
Aastra 57i VoIP phone,Pizazz Global Quick File,1,0.0002,0.1429,119.26
Aastra 57i VoIP phone,Zebra GX420t Direct Thermal/Thermal Transfer Printer,1,0.0002,0.1429,238.52
Aastra 6757i CT Wireless VoIP phone,GBC Premium Transparent Covers with Diagonal Lined Pattern,1,0.0002,0.1667,59.63
Aastra 6757i CT Wireless VoIP phone,Accohide Poly Flexible Ring Binders,1,0.0002,0.1667,104.35
Aastra 6757i CT Wireless VoIP phone,Fellowes PB300 Plastic Comb Binding Machine,1,0.0002,0.1667,139.14
Aastra 6757i CT Wireless VoIP phone,Acco Suede Grain Vinyl Round Ring Binder,1,0.0002,0.1667,104.35
Acco 3-Hole Punch,Polycom SoundPoint Pro SE-225 Corded phone,1,0.0002,0.1111,139.14
Acco 3-Hole Punch,Avery Recycled Flexi-View Covers for Binding Systems,1,0.0002,0.1111,79.51
Acco 3-Hole Punch,Southworth 25% Cotton Granite Paper & Envelopes,1,0.0002,0.1111,185.52
Acco 3-Hole Punch,GBC Instant Report Kit,1,0.0002,0.1111,42.81
Acco 3-Hole Punch,Sabrent 4-Port USB 2.0 Hub,1,0.0002,0.1111,139.14
Acco 6 Outlet Guardian Basic Surge Suppressor,Acco Economy Flexible Poly Round Ring Binder,1,0.0002,0.5,626.12
Acco 6 Outlet Guardian Basic Surge Suppressor,Hon Every-Day Series Multi-Task Chairs,1,0.0002,0.5,250.45
Acco 6 Outlet Guardian Basic Surge Suppressor,"Inter-Office Recycled Envelopes, Brown Kraft, Button-String,10"" x 13"" , 100/Box",1,0.0002,0.5,834.83
Acco 6 Outlet Guardian Basic Surge Suppressor,24-Hour Round Wall Clock,1,0.0002,0.5,417.42
Acco 6 Outlet Guardian Basic Surge Suppressor,"Sanford Colorific Scented Colored Pencils, 12/Pack",1,0.0002,0.5,1252.25
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Acme Stainless Steel Office Snips,1,0.0002,0.1667,208.71
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Spiral Phone Message Books with Labels by Adams,1,0.0002,0.1667,208.71
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Fellowes Superior 10 Outlet Split Surge Protector,1,0.0002,0.1667,92.76
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,OIC Thumb-Tacks,1,0.0002,0.1667,278.28
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Storex Dura Pro Binders,1,0.0002,0.1667,49.11
Acco 6 Outlet Guardian Premium Surge Suppressor,OIC Bulk Pack Metal Binder Clips,1,0.0002,0.125,78.27
Acco 6 Outlet Guardian Premium Surge Suppressor,Micropad Numeric Keypads,1,0.0002,0.125,156.53
Acco 6 Outlet Guardian Premium Surge Suppressor,Fellowes Binding Cases,1,0.0002,0.125,125.22
Acco 6 Outlet Guardian Premium Surge Suppressor,Avery Non-Stick Binders,1,0.0002,0.125,31.31
Acco 6 Outlet Guardian Premium Surge Suppressor,"Global Push Button Manager's Chair, Indigo",1,0.0002,0.125,69.57
Acco 6 Outlet Guardian Standard Surge Suppressor,Fellowes Basic Home/Office Series Surge Protectors,1,0.0002,0.2,111.31
Acco 6 Outlet Guardian Standard Surge Suppressor,Xerox 224,1,0.0002,0.2,166.97
Acco 6 Outlet Guardian Standard Surge Suppressor,DAX Clear Channel Poster Frame,1,0.0002,0.2,333.93
Acco 6 Outlet Guardian Standard Surge Suppressor,GBC DocuBind P400 Electric Binding System,1,0.0002,0.2,166.97
Acco 6 Outlet Guardian Standard Surge Suppressor,GBC Instant Index System for Binding Systems,1,0.0002,0.2,200.36
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",GBC VeloBinder Electric Binding Machine,1,0.0002,0.1429,178.89
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Premier Automatic Letter Opener,1,0.0002,0.1429,143.11
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection","DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",1,0.0002,0.1429,102.22
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Eldon Simplefile Box Office,1,0.0002,0.1429,89.45
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Newell 333,1,0.0002,0.1429,65.05
"Acco Banker's Clasps, 5 3/4""-Long","Global Manager's Adjustable Task Chair, Storm",1,0.0002,0.2,166.97
"Acco Banker's Clasps, 5 3/4""-Long","White Envelopes, White Envelopes with Clear Poly Window",1,0.0002,0.2,200.36
"Acco Banker's Clasps, 5 3/4""-Long",High Speed Automatic Electric Letter Opener,1,0.0002,0.2,333.93
"Acco Banker's Clasps, 5 3/4""-Long",Polycom VVX 310 VoIP phone,1,0.0002,0.2,125.22
