product_id,product_name,category,unit_price
TEC-PH-10002114,Xiaomi Mi3,Technology,569.99
FUR-TA-10000991,"Lesro Computer Table, Adjustable Height",Furniture,227.152
FUR-CH-10000527,"Office Star Executive Leather Armchair, Adjustable",Furniture,465.0
FUR-DAN-10002348,"Dania Classic Bookcase, Pine",Furniture,412.11
TEC-MA-10001695,Zebra GK420t Direct Thermal/Thermal Transfer Printer,Technology,117.285
FUR-TA-10002523,"Barricks Training Table, Rectangular",Furniture,315.87
FUR-LES-10004886,"Lesro Conference Table, Fully Assembled",Furniture,859.05
FUR-CH-10000981,"Novimex Swivel Stool, Set of Two",Furniture,150.039
TEC-PH-10000030,"Samsung Smart Phone, with Caller ID",Technology,477.1125
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,479.992
TEC-CO-10003087,"Canon Wireless Fax, Laser",Technology,378.66
TEC-PH-10001289,"Motorola Smart Phone, Full Size",Technology,385.614
OFF-AP-10002904,"Hamilton Beach Refrigerator, Silver",Office Supplies,450.792
TEC-MA-10000112,Panasonic KX MB2061 Multifunction Printer,Technology,239.64
FUR-TA-10000989,"Lesro Conference Table, Rectangular",Furniture,453.2295
FUR-TA-10002931,"Hon Round Table, with Bottom Storage",Furniture,361.137
TEC-MA-10002937,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",Technology,335.993
TEC-MA-10004587,"Konica Inkjet, White",Technology,207.06
FUR-TA-10004416,"Bevis Wood Table, Adjustable Height",Furniture,267.9
FUR-TA-10003164,"Bevis Wood Table, Rectangular",Furniture,371.826
FUR-TA-10003319,"Barricks Coffee Table, with Bottom Storage",Furniture,160.8
OFF-CUI-10002022,"Cuisinart Refrigerator, Black",Office Supplies,495.51
OFF-HAM-10000983,"Hamilton Beach Refrigerator, White",Office Supplies,498.27
FUR-CH-10001559,"SAFCO Executive Leather Armchair, Black",Furniture,459.0
TEC-PH-10002652,"Cisco Smart Phone, Cordless",Technology,488.61
TEC-CO-10002678,"Brother Wireless Fax, High-Speed",Technology,377.01
TEC-EPS-10004965,"Epson Inkjet, Wireless",Technology,308.22
TEC-CO-10003019,"Brother Fax Machine, High-Speed",Technology,316.74
FUR-CH-10000005,"Office Star Executive Leather Armchair, Adjustable",Furniture,281.952
TEC-MA-10002629,"Konica Inkjet, Wireless",Technology,266.526
FUR-TA-10003929,"Hon Computer Table, Fully Assembled",Furniture,262.528
TEC-PH-10004626,"Cisco Smart Phone, with Caller ID",Technology,654.24
OFF-AP-10000329,"KitchenAid Refrigerator, White",Office Supplies,350.72
FUR-LES-10002616,"Lesro Conference Table, with Bottom Storage",Furniture,857.58
FUR-BO-10000170,"Safco Library with Doors, Mobile",Furniture,353.079
OFF-AP-10000423,"Breville Refrigerator, Red",Office Supplies,519.33
OFF-AP-10000195,"Cuisinart Stove, Black",Office Supplies,483.948
OFF-AP-10002306,"KitchenAid Refrigerator, Silver",Office Supplies,528.69
TEC-MA-10002178,Cisco CP-7937G Unified IP Conference Station Phone,Technology,347.85
OFF-KIT-10001213,"KitchenAid Refrigerator, Black",Office Supplies,527.37
TEC-CO-10001864,"Brother Ink, High-Speed",Technology,87.3
OFF-AP-10003917,"KitchenAid Stove, Silver",Office Supplies,473.847
FUR-BO-10002529,"Safco Library with Doors, Metal",Furniture,350.325
TEC-MA-10004552,Star Micronics TSP100 TSP143LAN Receipt Printer,Technology,258.95
FUR-BO-10001318,"Safco Library with Doors, Mobile",Furniture,104.616
OFF-AP-10001593,"Cuisinart Microwave, Red",Office Supplies,250.614
OFF-AP-10000672,"KitchenAid Stove, White",Office Supplies,568.29
OFF-HAM-10003040,"Hamilton Beach Stove, White",Office Supplies,162.144
FUR-TA-10000805,"Bevis Wood Table, Adjustable Height",Furniture,357.2
FUR-TA-10001205,"Chromcraft Wood Table, Rectangular",Furniture,254.4477
OFF-AP-10003511,"Cuisinart Microwave, Black",Office Supplies,250.101
OFF-AP-10000975,"KitchenAid Stove, Black",Office Supplies,341.748
TEC-CO-10001343,"Canon Fax Machine, Digital",Technology,318.03
OFF-AP-10000509,"Hoover Refrigerator, Black",Office Supplies,473.121
FUR-BAR-10004682,"Barricks Round Table, Fully Assembled",Furniture,502.98
FUR-TA-10001089,"Hon Computer Table, with Bottom Storage",Furniture,346.101
FUR-TA-10000971,"Bevis Training Table, Rectangular",Furniture,332.55
TEC-PH-10001396,"Nokia Smart Phone, Cordless",Technology,572.535
OFF-AP-10000577,"Cuisinart Stove, Black",Office Supplies,537.72
TEC-MA-10003230,Okidata C610n Printer,Technology,454.3
FUR-BO-10003985,"Sauder Classic Bookcase, Traditional",Furniture,261.594
TEC-PH-10002352,Avaya IP Phone 1140E VoIP phone,Technology,278.99
FUR-TA-10003690,"Hon Computer Table, Fully Assembled",Furniture,320.9115
FUR-FU-10002979,"Eldon Frame, Black",Furniture,116.25
TEC-MA-10004535,"Konica Printer, White",Technology,266.25
FUR-BO-10004648,"Sauder Library with Doors, Pine",Furniture,388.98
FUR-CH-10004050,"Novimex Executive Leather Armchair, Adjustable",Furniture,455.52
FUR-TA-10003785,"Hon Round Table, Adjustable Height",Furniture,276.32
TEC-MA-10004617,"Konica Receipt Printer, Wireless",Technology,81.5
OFF-AP-10004293,"KitchenAid Refrigerator, Silver",Office Supplies,317.214
FUR-TA-10002786,"Lesro Computer Table, Fully Assembled",Furniture,278.421
FUR-TA-10000945,"Bevis Coffee Table, Adjustable Height",Furniture,213.58
OFF-BRE-10004436,"Breville Stove, Black",Office Supplies,560.97
FUR-BEV-10004919,"Bevis Wood Table, with Bottom Storage",Furniture,533.61
OFF-AP-10002244,"Breville Refrigerator, White",Office Supplies,429.5001
TEC-CO-10004377,"Brother Fax Machine, High-Speed",Technology,316.74
FUR-BO-10001553,"Sauder Library with Doors, Traditional",Furniture,387.63
FUR-TA-10000963,"Chromcraft Round Table, with Bottom Storage",Furniture,249.12
TEC-HEW-10002302,"Hewlett Copy Machine, Color",Technology,261.87
FUR-BEV-10004805,"Bevis Conference Table, Rectangular",Furniture,921.33
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Office Supplies,377.998
FUR-CHR-10002686,"Chromcraft Computer Table, Adjustable Height",Furniture,445.62
TEC-PH-10004575,"Motorola Smart Phone, Cordless",Technology,642.78
TEC-MA-10004172,"Konica Printer, Red",Technology,219.9417
FUR-TA-10001056,"Barricks Conference Table, Adjustable Height",Furniture,636.489
TEC-CO-10000415,"Brother Ink, Color",Technology,148.74
FUR-TA-10003354,"Barricks Conference Table, Adjustable Height",Furniture,272.781
OFF-AP-10004994,"Hamilton Beach Refrigerator, Red",Office Supplies,333.42
TEC-CO-10004343,"HP Wireless Fax, Color",Technology,216.99
FUR-TA-10000283,"Hon Wood Table, with Bottom Storage",Furniture,371.931
FUR-TA-10004801,"Hon Conference Table, Rectangular",Furniture,612.7
TEC-MA-10003773,"Panasonic Card Printer, Wireless",Technology,173.82
TEC-MA-10002148,"Epson Printer, Durable",Technology,262.74
TEC-PH-10001146,"Nokia Smart Phone, Full Size",Technology,169.96
FUR-CH-10002816,"Harbour Creations Swivel Stool, Adjustable",Furniture,182.61
OFF-AP-10002397,"Breville Microwave, White",Office Supplies,269.865
FUR-TA-10003228,"Hon Computer Table, Fully Assembled",Furniture,344.568
OFF-CUI-10000682,"Cuisinart Stove, Silver",Office Supplies,215.616
FUR-BO-10000279,"Dania Classic Bookcase, Pine",Furniture,370.899
TEC-MA-10001792,"Epson Inkjet, White",Technology,259.5645
OFF-ST-10002221,"Rogers Lockers, Industrial",Office Supplies,212.1
FUR-BO-10002387,"Safco Library with Doors, Metal",Furniture,350.325
OFF-AP-10001178,"KitchenAid Stove, Red",Office Supplies,285.075
OFF-AP-10003598,"Breville Refrigerator, Red",Office Supplies,431.0439
TEC-MA-10004666,"Panasonic Inkjet, Red",Technology,309.24
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,509.997
OFF-AP-10000864,"Hamilton Beach Refrigerator, Black",Office Supplies,499.56
TEC-PH-10000332,"Samsung Smart Phone, VoIP",Technology,169.664
FUR-TA-10003771,"Hon Computer Table, Adjustable Height",Furniture,342.867
OFF-AP-10001298,"Breville Stove, Black",Office Supplies,560.97
FUR-DAN-10004510,"Dania Library with Doors, Metal",Furniture,144.744
TEC-PH-10001459,Samsung Galaxy Mega 6.3,Technology,335.992
FUR-BEV-10001217,"Bevis Wood Table, Fully Assembled",Furniture,535.08
FUR-TA-10002497,"Chromcraft Computer Table, Adjustable Height",Furniture,289.653
TEC-AC-10004018,"SanDisk Memory Card, USB",Technology,112.62
TEC-PH-10002035,"Samsung Smart Phone, Cordless",Technology,639.0
FUR-HON-10003871,"Hon Conference Table, Fully Assembled",Furniture,369.18
OFF-AP-10004711,"Breville Refrigerator, Silver",Office Supplies,520.08
TEC-MA-10001248,"StarTech Inkjet, Wireless",Technology,181.134
FUR-TA-10003254,"Bevis Round Table, Adjustable Height",Furniture,277.536
OFF-AP-10002675,"Cuisinart Refrigerator, Black",Office Supplies,247.755
OFF-AP-10001503,"KitchenAid Microwave, Black",Office Supplies,278.775
TEC-CO-10001196,"Brother Fax Machine, Color",Technology,191.988
TEC-MOT-10001244,"Motorola Audio Dock, with Caller ID",Technology,173.37
FUR-TA-10001386,"Lesro Conference Table, Fully Assembled",Furniture,455.2965
OFF-AP-10002629,"Cuisinart Stove, White",Office Supplies,321.858
FUR-BO-10000655,"Dania Classic Bookcase, Traditional",Furniture,369.684
OFF-AP-10001322,"Hamilton Beach Stove, Silver",Office Supplies,488.781
TEC-MA-10000172,"StarTech Inkjet, Wireless",Technology,181.062
FUR-TA-10000671,"Barricks Conference Table, with Bottom Storage",Furniture,483.776
FUR-BO-10000820,"Sauder 3-Shelf Cabinet, Metal",Furniture,149.526
FUR-TA-10001306,"Hon Wood Table, Adjustable Height",Furniture,284.544
FUR-FU-10001144,"Rubbermaid Photo Frame, Erganomic",Furniture,50.37
FUR-FU-10002246,"Tenex Frame, Duo Pack",Furniture,80.3292
FUR-TA-10000038,"Chromcraft Conference Table, Adjustable Height",Furniture,612.402
OFF-AP-10004646,"Hoover Refrigerator, Black",Office Supplies,350.46
TEC-CO-10004182,"Hewlett Wireless Fax, Laser",Technology,228.114
TEC-CO-10000208,"Brother Wireless Fax, Color",Technology,353.6325
OFF-AP-10000108,"Breville Refrigerator, Black",Office Supplies,311.256
FUR-CH-10000470,"Novimex Executive Leather Armchair, Red",Furniture,276.12
TEC-MA-10004063,"Okidata Printer, Durable",Technology,161.172
OFF-AP-10000486,"Cuisinart Stove, Silver",Office Supplies,539.04
TEC-AC-10003947,"SanDisk Keyboard, Bluetooth",Technology,81.48
FUR-TA-10002519,"Lesro Conference Table, with Bottom Storage",Furniture,171.516
FUR-TA-10000317,"Barricks Computer Table, Fully Assembled",Furniture,255.632
TEC-PH-10002672,"Cisco Smart Phone, Full Size",Technology,434.26
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,139.128
FUR-TA-10002611,"Barricks Computer Table, with Bottom Storage",Furniture,256.016
TEC-CO-10001191,"Sharp Wireless Fax, High-Speed",Technology,354.12
FUR-TA-10002341,"Barricks Computer Table, Fully Assembled",Furniture,479.31
OFF-AP-10000540,"Hamilton Beach Refrigerator, Red",Office Supplies,450.117
FUR-BO-10003386,"Sauder 3-Shelf Cabinet, Mobile",Furniture,169.2
FUR-TA-10004680,"Lesro Wood Table, Fully Assembled",Furniture,304.785
TEC-MA-10000488,Bady BDG101FRU Card Printer,Technology,479.994
FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Furniture,144.784
OFF-ST-10002011,Smead Adjustable Mobile File Trolley with Lockable Top,Office Supplies,419.19
FUR-TA-10001930,"Bevis Computer Table, with Bottom Storage",Furniture,264.912
OFF-AP-10003568,"Hoover Stove, Black",Office Supplies,471.357
FUR-TA-10004820,"Barricks Wood Table, Fully Assembled",Furniture,276.48
OFF-AP-10001692,"KitchenAid Stove, Black",Office Supplies,569.58
FUR-TA-10001289,"Lesro Conference Table, Fully Assembled",Furniture,458.16
OFF-AP-10000003,"KitchenAid Refrigerator, White",Office Supplies,473.472
OFF-AP-10001876,"Hoover Coffee Grinder, Silver",Office Supplies,46.36
TEC-AC-10001455,"Logitech Memory Card, Erganomic",Technology,60.714
OFF-AP-10003561,"Breville Microwave, Black",Office Supplies,200.76
TEC-AC-10000089,"SanDisk Router, Bluetooth",Technology,256.35
FUR-TA-10003893,"Lesro Wood Table, with Bottom Storage",Furniture,467.43
OFF-AP-10001664,"Cuisinart Stove, Black",Office Supplies,446.3076
TEC-PH-10003002,"Cisco Smart Phone, Full Size",Technology,651.39
TEC-CO-10004961,"HP Wireless Fax, Color",Technology,361.65
TEC-PH-10001578,Polycom SoundStation2 EX Conference phone,Technology,323.96
FUR-TA-10004972,"Chromcraft Wood Table, Rectangular",Furniture,96.018
OFF-AP-10004572,"Cuisinart Stove, Red",Office Supplies,484.461
FUR-FU-10000729,"Eldon Clock, Durable",Furniture,53.55
TEC-PH-10003762,"Motorola Smart Phone, Full Size",Technology,321.345
FUR-TA-10001360,"Bevis Round Table, Rectangular",Furniture,361.032
FUR-TA-10004531,"Chromcraft Coffee Table, Rectangular",Furniture,176.44
TEC-AC-10003921,"Enermax Numeric Keypad, USB",Technology,33.084
OFF-AP-10001285,"Cuisinart Stove, Red",Office Supplies,215.316
FUR-TA-10002699,"Hon Round Table, Rectangular",Furniture,410.784
FUR-TA-10002487,"Bevis Training Table, with Bottom Storage",Furniture,133.992
FUR-BO-10004679,"Safco Library with Doors, Pine",Furniture,391.14
FUR-CH-10002275,"Novimex Executive Leather Armchair, Adjustable",Furniture,184.176
OFF-AR-10002331,"Binney & Smith Canvas, Blue",Office Supplies,51.36
FUR-LES-10004098,"Lesro Round Table, Rectangular",Furniture,449.58
OFF-AP-10004041,"KitchenAid Microwave, White",Office Supplies,277.614
TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,Technology,1160.95
FUR-TA-10000164,"Lesro Training Table, Fully Assembled",Furniture,270.27
FUR-CHR-10002278,"Chromcraft Round Table, Adjustable Height",Furniture,140.787
FUR-TA-10003594,"Hon Conference Table, with Bottom Storage",Furniture,245.728
TEC-MA-10000433,"Epson Inkjet, Durable",Technology,306.63
FUR-TA-10000861,"Barricks Conference Table, with Bottom Storage",Furniture,453.54
FUR-TA-10003185,"Chromcraft Computer Table, Fully Assembled",Furniture,311.43
FUR-BO-10003661,"Sauder Floating Shelf Set, Traditional",Furniture,194.58
OFF-AP-10000675,"Hamilton Beach Stove, White",Office Supplies,486.432
FUR-BEV-10002803,"Bevis Conference Table, Fully Assembled",Furniture,925.23
TEC-MA-10001259,"StarTech Inkjet, White",Technology,298.92
OFF-AP-10004295,"Cuisinart Refrigerator, Silver",Office Supplies,447.147
TEC-MA-10004414,"Okidata Phone, Red",Technology,84.0
FUR-BO-10004924,"Sauder Library with Doors, Traditional",Furniture,258.42
TEC-MA-10002073,"3D Systems Cube Printer, 2nd Generation, White",Technology,1039.992
OFF-AP-10004168,"Cuisinart Stove, White",Office Supplies,536.43
FUR-BUS-10003724,"Bush Corner Shelving, Metal",Furniture,123.45
OFF-AP-10000330,"Hamilton Beach Stove, Red",Office Supplies,488.106
FUR-CH-10003616,"Novimex Executive Leather Armchair, Adjustable",Furniture,345.33
FUR-TA-10001642,"Lesro Round Table, Rectangular",Furniture,239.776
FUR-BO-10001876,"Safco Corner Shelving, Pine",Furniture,135.729
FUR-TA-10000299,"Lesro Round Table, Adjustable Height",Furniture,195.306
FUR-TA-10001600,"Lesro Coffee Table, Fully Assembled",Furniture,135.184
OFF-PA-10000373,"Xerox Cards & Envelopes, 8.5 x 11",Office Supplies,49.11
FUR-CH-10000479,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,424.062
FUR-BO-10001835,"Safco Library with Doors, Traditional",Furniture,389.79
FUR-TA-10001228,"Bevis Training Table, Rectangular",Furniture,182.9025
TEC-CO-10002659,"Sharp Fax Machine, Color",Technology,297.09
OFF-AP-10002312,"KitchenAid Refrigerator, Black",Office Supplies,437.7171
TEC-PH-10001712,"Nokia Smart Phone, Full Size",Technology,424.04
TEC-CO-10000447,"Canon Wireless Fax, Color",Technology,380.1
TEC-PH-10004940,"Nokia Signal Booster, with Caller ID",Technology,136.5
OFF-AP-10002552,"Hamilton Beach Stove, White",Office Supplies,486.432
TEC-MA-10000984,Okidata MB760 Printer,Technology,1119.2
TEC-CO-10001301,"Sharp Copy Machine, Laser",Technology,143.424
TEC-AC-10000053,"SanDisk Router, USB",Technology,135.9768
FUR-TA-10003522,"Chromcraft Conference Table, with Bottom Storage",Furniture,174.534
OFF-EN-10004206,Multimedia Mailers,Office Supplies,162.93
FUR-CH-10004455,"Harbour Creations Swivel Stool, Red",Furniture,180.12
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Office Supplies,1088.792
OFF-AP-10002433,"Cuisinart Microwave, Silver",Office Supplies,186.14
TEC-AC-10001258,"Belkin Router, Erganomic",Technology,256.56
FUR-CH-10001207,"Hon Executive Leather Armchair, Red",Furniture,344.5425
TEC-PH-10002774,"Nokia Smart Phone, with Caller ID",Technology,425.94
TEC-MA-10002468,"Panasonic Inkjet, White",Technology,232.875
FUR-TA-10004957,"Bevis Wood Table, Fully Assembled",Furniture,230.0844
TEC-BRO-10004184,"Brother Wireless Fax, Color",Technology,152.1
TEC-CO-10004904,"Sharp Fax Machine, Digital",Technology,117.72228
FUR-CHR-10004803,"Chromcraft Wood Table, Fully Assembled",Furniture,483.99
TEC-PH-10002991,"Apple Smart Phone, Full Size",Technology,528.0543
TEC-AC-10002153,"Logitech Memory Card, Bluetooth",Technology,27.568
TEC-PH-10001360,"Apple Smart Phone, Full Size",Technology,637.5
OFF-AP-10001815,"Hoover Refrigerator, Black",Office Supplies,473.121
FUR-TA-10002966,"Chromcraft Computer Table, Fully Assembled",Furniture,88.98
OFF-AP-10004512,"Hoover Stove, Red",Office Supplies,511.623
FUR-TA-10001786,"Chromcraft Computer Table, with Bottom Storage",Furniture,443.43
TEC-MA-10003801,"StarTech Card Printer, Red",Technology,160.65
FUR-TA-10001494,"Lesro Wood Table, Adjustable Height",Furniture,328.734
FUR-BO-10004452,"Bush Classic Bookcase, Pine",Furniture,220.816
OFF-ST-10002642,"Eldon Lockers, Single Width",Office Supplies,197.94
FUR-CHR-10001570,"Chromcraft Conference Table, Rectangular",Furniture,870.24
FUR-BO-10004129,"Sauder Classic Bookcase, Pine",Furniture,218.67
OFF-AP-10003382,"Breville Stove, White",Office Supplies,559.68
TEC-PH-10000800,"Cisco Smart Phone, Full Size",Technology,587.412
OFF-AP-10003625,"Hoover Microwave, White",Office Supplies,204.52
TEC-MA-10000742,"Konica Inkjet, White",Technology,186.354
FUR-TA-10004832,"Hon Conference Table, with Bottom Storage",Furniture,491.456
OFF-AP-10000275,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Office Supplies,328.14
TEC-MA-10000875,"Okidata Inkjet, Wireless",Technology,157.11
FUR-BO-10001372,"Safco Classic Bookcase, Pine",Furniture,395.55
TEC-CO-10004170,"HP Wireless Fax, High-Speed",Technology,358.41
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture,430.98
FUR-TA-10003527,"Chromcraft Wood Table, with Bottom Storage",Furniture,313.638
TEC-CO-10003083,"HP Fax Machine, High-Speed",Technology,298.14
OFF-AP-10001041,"Hoover Stove, White",Office Supplies,377.74
FUR-BO-10001324,"Sauder Floating Shelf Set, Pine",Furniture,176.337
FUR-TA-10004634,"Bevis Training Table, Adjustable Height",Furniture,219.1605
TEC-AC-10002348,"Enermax Memory Card, USB",Technology,114.6
FUR-TA-10000478,"Bevis Round Table, Fully Assembled",Furniture,277.152
FUR-TA-10001726,"Bevis Conference Table, with Bottom Storage",Furniture,600.444
TEC-MA-10004212,Cisco SPA525G2 5-Line IP Phone,Technology,172.49
FUR-BEV-10000326,"Bevis Wood Table, Rectangular",Furniture,531.18
FUR-TA-10004722,"Barricks Computer Table, Adjustable Height",Furniture,309.0165
TEC-CO-10004535,"Hewlett Fax Machine, High-Speed",Technology,318.12
TEC-CO-10000953,"HP Wireless Fax, Laser",Technology,360.21
OFF-AP-10003354,"KitchenAid Microwave, White",Office Supplies,185.076
FUR-TA-10000649,"Barricks Computer Table, with Bottom Storage",Furniture,336.021
TEC-AC-10003870,Logitech Z-906 Speaker sys - home theater - 5.1-CH,Technology,329.99
FUR-BAR-10000560,"Barricks Round Table, with Bottom Storage",Furniture,501.51
TEC-CO-10001275,"Brother Fax and Copier, Digital",Technology,127.16516
TEC-MOT-10002272,"Motorola Smart Phone, with Caller ID",Technology,645.54
TEC-CO-10002376,"Hewlett Fax Machine, Laser",Technology,319.92
FUR-FU-10000668,"Tenex Frame, Durable",Furniture,107.01
FUR-TA-10000670,"Chromcraft Coffee Table, Adjustable Height",Furniture,269.28
FUR-TA-10004892,"Chromcraft Wood Table, with Bottom Storage",Furniture,482.52
TEC-MA-10000374,"Konica Receipt Printer, Red",Technology,79.6
TEC-PH-10001795,ClearOne CHATAttach 160 - speaker phone,Technology,371.994
TEC-PH-10000499,"Motorola Smart Phone, Full Size",Technology,578.421
TEC-HEW-10004690,"Hewlett Fax and Copier, High-Speed",Technology,191.07
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,560.784
FUR-TA-10003591,"Bevis Wood Table, Rectangular",Furniture,531.18
FUR-TA-10003899,"Barricks Round Table, with Bottom Storage",Furniture,250.755
OFF-AP-10004964,"Hoover Stove, White",Office Supplies,566.61
OFF-CUI-10000105,"Cuisinart Microwave, Black",Office Supplies,277.89
FUR-BO-10002708,"Dania Library with Doors, Pine",Furniture,363.75
OFF-AP-10004755,"KitchenAid Microwave, Black",Office Supplies,309.75
TEC-PH-10002517,"Cisco Speaker Phone, Cordless",Technology,84.798
FUR-BO-10004999,"Safco Classic Bookcase, Metal",Furniture,393.849
FUR-BEV-10001048,"Bevis Conference Table, with Bottom Storage",Furniture,923.76
TEC-PH-10002962,"Motorola Smart Phone, Full Size",Technology,386.388
FUR-BO-10004771,"Safco Library with Doors, Traditional",Furniture,155.916
OFF-AP-10003866,"Breville Microwave, Red",Office Supplies,250.4193
OFF-BRE-10002738,"Breville Microwave, Silver",Office Supplies,302.46
TEC-PH-10002935,"Samsung Smart Phone, VoIP",Technology,572.616
TEC-PH-10001670,"Motorola Smart Phone, Full Size",Technology,643.98
