Customer ID,LastPurchaseDate,PurchaseFrequency,TotalSpending,DaysSinceLastPurchase,Risk
BE-11410,2014-09-24,5,2261.438,98,Medium Risk
BE-11455,2014-04-21,13,1727.652,254,High Risk
BF-10975,2014-10-01,13,599.798,91,Medium Risk
BF-11005,2014-11-22,10,1333.88,39,Low Risk
BF-11020,2014-10-18,21,2888.506,74,Low Risk
BF-11080,2014-12-06,6,272.95,25,Low Risk
BF-11170,2014-12-15,27,5907.972,16,Low Risk
BF-11215,2014-10-27,8,1585.162,65,Low Risk
BF-11275,2014-11-04,4,791.9899999999999,57,Low Risk
BG-11035,2014-12-03,12,2798.948,28,Low Risk
BG-11695,2014-11-25,8,1874.172,36,Low Risk
BG-11740,2014-11-04,7,1006.356,57,Low Risk
BH-11710,2014-12-08,24,6255.351,23,Low Risk
BK-11260,2014-10-15,16,659.1379999999999,77,Low Risk
BM-11140,2014-02-27,16,11789.630000000001,307,High Risk
BM-11575,2014-09-22,10,808.162,100,Medium Risk
BM-11650,2014-11-28,29,7294.185,33,Low Risk
BM-11785,2014-05-27,14,1338.842,218,High Risk
BN-11470,2014-12-07,6,265.296,24,Low Risk
BN-11515,2014-12-22,17,1459.344,9,Low Risk
BO-11350,2014-08-16,12,2682.728,137,Medium Risk
BO-11425,2014-10-17,2,130.83,75,Low Risk
BP-11050,2014-10-09,7,983.4200000000001,83,Low Risk
BP-11095,2014-12-14,20,2442.044,17,Low Risk
BP-11155,2014-10-03,11,1697.861,89,Low Risk
BP-11185,2014-12-30,18,3675.861,1,Low Risk
BP-11230,2014-11-22,6,1181.49,39,Low Risk
BP-11290,2014-12-19,16,2475.157,12,Low Risk
BS-11365,2013-06-21,9,10501.653,558,High Risk
BS-11380,2014-12-03,13,3887.834,28,Low Risk
BS-11590,2014-11-26,10,2454.928,35,Low Risk
BS-11665,2013-05-28,11,3288.1099999999997,582,High Risk
BS-11755,2014-12-30,14,2562.382,1,Low Risk
BS-11800,2014-04-10,8,949.4300000000001,265,High Risk
BT-11305,2014-01-29,9,2567.656,336,High Risk
BT-11395,2014-03-04,10,2186.6130000000003,302,High Risk
BT-11440,2013-06-19,7,603.876,560,High Risk
BT-11485,2013-03-12,3,415.19599999999997,659,High Risk
BT-11530,2014-10-01,10,2684.4919999999997,91,Medium Risk
BT-11680,2014-12-11,20,3196.752,20,Low Risk
BV-11245,2014-01-31,14,1523.273,334,High Risk
BW-11065,2014-06-02,3,385.516,212,High Risk
BW-11110,2014-09-01,17,4750.358,121,Medium Risk
BW-11200,2014-06-11,10,1738.406,203,High Risk
CA-11965,2014-09-26,10,3789.7228,96,Medium Risk
CA-12055,2013-11-25,10,1679.724,401,High Risk
CA-12265,2014-11-05,17,2648.2872,56,Low Risk
CA-12310,2014-12-18,11,1421.954,13,Low Risk
CA-12775,2014-09-02,17,3041.566,120,Medium Risk
CB-12025,2014-11-14,26,6076.139,47,Low Risk
CB-12415,2014-12-05,12,1949.2000000000003,26,Low Risk
CB-12535,2014-06-17,19,4246.4555,197,High Risk
CC-12100,2013-09-30,13,1770.945,457,High Risk
CC-12145,2014-09-16,11,2471.65,106,Medium Risk
CC-12220,2014-12-11,22,3913.418,20,Low Risk
CC-12370,2014-11-18,11,12129.072,43,Low Risk
CC-12430,2014-12-31,19,2870.05,0,Low Risk
CC-12475,2014-11-22,13,1659.438,39,Low Risk
CC-12550,2014-12-04,4,113.832,27,Low Risk
CC-12610,2014-11-27,12,2540.631,34,Low Risk
CC-12670,2014-12-02,14,2269.7015,29,Low Risk
CC-12685,2012-10-23,12,2854.1150000000002,799,High Risk
CD-11920,2014-11-21,9,2033.968,40,Low Risk
CD-11980,2014-11-07,6,639.766,54,Low Risk
CD-12280,2014-11-19,13,1205.584,42,Low Risk
CD-12790,2013-11-27,15,1860.732,399,High Risk
CG-12040,2014-11-12,9,904.468,49,Low Risk
CG-12520,2014-01-27,5,1148.78,338,High Risk
CH-12070,2013-02-08,4,1537.236,691,High Risk
CJ-11875,2013-12-31,1,16.52,365,High Risk
CJ-12010,2014-06-25,20,11164.974,189,High Risk
CK-12205,2014-11-22,32,3154.855,39,Low Risk
CK-12325,2014-09-02,12,2945.321,120,Medium Risk
CK-12595,2014-11-18,25,2372.75,43,Low Risk
CK-12760,2014-10-10,14,1582.109,82,Low Risk
CL-11890,2014-09-16,7,1262.0140000000001,106,Medium Risk
CL-12565,2014-03-22,28,10880.546,284,High Risk
CL-12700,2014-09-17,8,2353.5860000000002,105,Medium Risk
CM-11815,2014-08-22,10,1673.888,131,Medium Risk
CM-11935,2013-01-22,4,565.392,708,High Risk
CM-12115,2014-12-23,7,1661.6100000000001,8,Low Risk
CM-12160,2014-12-05,7,2533.314,26,Low Risk
CM-12190,2014-12-23,7,1475.144,8,Low Risk
CM-12235,2013-12-11,8,2305.712,385,High Risk
CM-12385,2014-11-24,10,8954.019999999999,37,Low Risk
CM-12445,2013-10-21,9,287.99,436,High Risk
CM-12655,2014-12-04,10,6339.5576,27,Low Risk
CM-12715,2012-03-01,13,3984.4524,1035,High Risk
CP-12085,2014-10-10,14,5402.254,82,Low Risk
CP-12340,2014-07-24,15,5888.275,160,Medium Risk
CR-12580,2014-11-04,6,2148.852,57,Low Risk
CR-12625,2013-09-17,4,475.9,470,High Risk
CR-12730,2014-10-14,6,1600.55,78,Low Risk
CR-12820,2014-10-07,7,1397.8724,85,Low Risk
CS-11845,2014-10-01,8,1278.954,91,Medium Risk
CS-11860,2014-07-22,7,537.632,162,Medium Risk
CS-11950,2014-12-06,22,3036.547,25,Low Risk
CS-12130,2013-08-29,7,884.64,489,High Risk
CS-12175,2014-05-13,8,844.4580000000001,232,High Risk
CS-12250,2014-12-05,28,2754.216,26,Low Risk
CS-12355,2014-12-25,22,3202.1620000000003,6,Low Risk
CS-12400,2014-12-29,14,3651.8585000000003,2,Low Risk
CS-12460,2014-12-04,6,550.644,27,Low Risk
CS-12490,2013-11-02,9,1077.2285,424,High Risk
CS-12505,2014-11-03,9,5690.054999999999,58,Low Risk
CT-11995,2014-09-26,18,3241.898,96,Medium Risk
CV-12295,2014-04-21,13,2830.6279999999997,254,High Risk
CV-12805,2014-12-26,19,2370.3136,5,Low Risk
CW-11905,2014-12-09,11,1136.592,22,Low Risk
CY-12745,2014-11-01,11,2900.026,60,Low Risk
Co-12640,2013-06-30,8,1300.076,549,High Risk
DA-13450,2014-01-13,8,156.76,352,High Risk
DB-12910,2014-12-10,12,2171.599,21,Low Risk
DB-12970,2014-05-04,14,2839.2272,241,High Risk
DB-13060,2014-12-15,13,4531.646,16,Low Risk
DB-13120,2014-11-13,14,2973.094,48,Low Risk
DB-13210,2014-12-22,21,2332.5769999999998,9,Low Risk
DB-13270,2014-11-08,13,4655.897,53,Low Risk
DB-13360,2014-04-11,6,1081.466,264,High Risk
DB-13405,2014-06-27,14,1711.692,187,High Risk
DB-13555,2014-09-15,14,3908.8028,107,Medium Risk
DB-13615,2014-11-28,11,1989.05,33,Low Risk
DB-13660,2014-12-19,10,1155.202,12,Low Risk
DC-12850,2014-11-24,18,3336.168,37,Low Risk
DC-13285,2014-12-08,7,1174.618,23,Low Risk
DD-13570,2014-11-20,9,269.542,41,Low Risk
DE-13255,2013-01-11,9,2550.874,719,High Risk
DF-13135,2013-01-30,6,2390.534,700,High Risk
DG-13300,2014-11-29,8,3195.818,32,Low Risk
DH-13075,2014-03-29,23,4932.872,277,High Risk
DH-13675,2012-11-15,11,1043.096,776,High Risk
DJ-13420,2013-04-03,5,2012.52,637,High Risk
DJ-13510,2014-11-13,13,2501.688,48,Low Risk
DJ-13630,2014-12-19,8,3356.398,12,Low Risk
DK-12835,2014-12-10,27,3256.48,21,Low Risk
DK-12895,2014-11-16,15,4282.176,45,Low Risk
DK-12985,2014-12-24,8,1687.04,7,Low Risk
DK-13090,2014-11-19,13,2650.5570000000002,42,Low Risk
DK-13150,2014-12-21,5,797.832,10,Low Risk
DK-13225,2014-12-21,19,4802.394,10,Low Risk
DK-13375,2014-12-12,23,3318.486,19,Low Risk
DL-12865,2014-09-22,14,1503.112,100,Medium Risk
DL-12925,2014-11-04,14,3272.2,57,Low Risk
DL-13315,2014-12-09,17,1458.258,22,Low Risk
DL-13330,2014-11-04,8,585.02,57,Low Risk
DL-13495,2014-10-16,12,3539.322,76,Low Risk
DM-12955,2014-09-08,9,1322.034,114,Medium Risk
DM-13015,2014-11-04,20,6345.103,57,Low Risk
DM-13345,2014-12-09,13,4074.4719999999993,22,Low Risk
DM-13525,2013-09-06,10,1376.792,481,High Risk
DN-13690,2014-05-28,11,2139.79,217,High Risk
DO-13435,2014-08-20,13,1300.0315,133,Medium Risk
DO-13645,2014-12-05,11,1267.316,26,Low Risk
DP-13000,2014-08-27,17,1050.636,126,Medium Risk
DP-13105,2014-12-25,14,2215.002,6,Low Risk
DP-13165,2012-10-10,4,1058.616,812,High Risk
DP-13390,2014-01-07,14,5480.723999999999,358,High Risk
DR-12880,2014-12-28,24,6528.034000000001,3,Low Risk
DR-12940,2014-11-11,13,8350.868,50,Low Risk
DS-13030,2014-09-29,19,1762.213,93,Medium Risk
DS-13180,2014-12-08,20,2881.8128,23,Low Risk
DV-13045,2014-12-12,9,1119.483,19,Low Risk
DV-13465,2014-12-02,15,3341.587,29,Low Risk
DW-13195,2014-10-23,9,1080.751,69,Low Risk
DW-13480,2014-05-28,11,5271.628,217,High Risk
DW-13540,2014-09-24,9,344.08,98,Medium Risk
DW-13585,2014-05-03,10,1204.854,242,High Risk
Dl-13600,2014-09-03,6,755.602,119,Medium Risk
Dp-13240,2014-10-08,29,7198.761,84,Low Risk
EA-14035,2014-08-01,25,2846.705,152,Medium Risk
EB-13705,2014-11-13,12,3644.978,48,Low Risk
EB-13750,2014-11-26,20,3236.314,35,Low Risk
EB-13840,2014-10-02,8,4358.128,90,Low Risk
EB-13870,2014-09-22,11,2767.219,100,Medium Risk
EB-13930,2014-07-23,7,944.6000000000001,161,Medium Risk
EB-13975,2014-12-31,6,1643.255,0,Low Risk
EB-14110,2014-09-09,11,3071.126,113,Medium Risk
EB-14170,2014-10-10,7,1186.326,82,Low Risk
EC-14050,2014-11-08,7,461.914,53,Low Risk
ED-13885,2014-08-18,14,3484.92,135,Medium Risk
EG-13900,2014-12-09,9,1832.02,22,Low Risk
EH-13765,2014-08-18,32,10310.88,135,Medium Risk
EH-13945,2014-05-28,17,684.171,217,High Risk
EH-13990,2013-11-21,8,825.95,405,High Risk
EH-14005,2014-12-29,11,1219.53,2,Low Risk
EH-14125,2014-08-01,18,3082.653,152,Medium Risk
EH-14185,2014-09-17,8,923.884,105,Medium Risk
EJ-13720,2014-03-04,8,2162.174,302,High Risk
EJ-14155,2014-11-04,8,2656.691,57,Low Risk
EK-13795,2014-11-17,4,1303.4779999999998,44,Low Risk
EL-13735,2014-10-15,2,124.28,77,Low Risk
EM-13810,2014-08-21,7,2567.0099999999998,132,Medium Risk
EM-13825,2014-11-06,16,2339.598,55,Low Risk
EM-13960,2014-08-02,6,933.704,151,Medium Risk
EM-14065,2014-11-14,6,228.99,47,Low Risk
EM-14095,2014-09-09,10,1041.042,113,Medium Risk
EM-14140,2014-11-13,21,4588.436,48,Low Risk
EM-14200,2014-07-26,4,366.822,158,Medium Risk
EN-13780,2014-03-19,9,2199.366,287,High Risk
EP-13915,2014-12-19,31,5478.0608,12,Low Risk
ER-13855,2013-11-05,5,1245.788,421,High Risk
ES-14020,2014-11-21,8,3510.458,40,Low Risk
ES-14080,2014-12-03,20,4657.924,28,Low Risk
FA-14230,2014-09-25,17,2984.054,97,Medium Risk
FC-14245,2014-10-22,14,3418.742,70,Low Risk
FC-14335,2014-06-30,10,3889.366,184,High Risk
FG-14260,2014-11-27,11,1383.144,34,Low Risk
FH-14275,2014-11-24,21,4256.272,37,Low Risk
FH-14350,2014-06-02,14,2271.284,212,High Risk
FH-14365,2014-12-26,13,6987.196,5,Low Risk
FM-14215,2014-12-24,15,2456.638,7,Low Risk
FM-14290,2014-11-25,20,3736.198,36,Low Risk
FM-14380,2014-08-08,14,2523.266,145,Medium Risk
FO-14305,2014-11-23,15,2678.438,38,Low Risk
FP-14320,2014-12-08,14,4046.746,23,Low Risk
FW-14395,2014-01-03,3,79.75,362,High Risk
GA-14515,2014-08-04,14,3919.7760000000003,149,Medium Risk
GA-14725,2014-12-26,22,1398.382,5,Low Risk
GB-14530,2014-10-30,20,1568.44,62,Low Risk
GB-14575,2014-12-18,16,4716.2880000000005,13,Low Risk
GD-14590,2014-12-26,6,1888.07,5,Low Risk
GG-14650,2014-11-18,24,2224.0,43,Low Risk
GH-14410,2014-10-17,17,2819.467,75,Low Risk
GH-14425,2014-11-11,10,4172.8460000000005,50,Low Risk
GH-14485,2013-12-09,3,1361.2440000000001,387,High Risk
GH-14665,2014-12-29,3,146.9408,2,Low Risk
GK-14620,2014-09-10,14,6497.27,112,Medium Risk
GM-14440,2014-10-09,11,3582.82,83,Low Risk
GM-14455,2014-12-15,12,3078.6240000000003,16,Low Risk
GM-14500,2014-09-16,13,1255.6819999999998,106,Medium Risk
GM-14680,2014-08-01,11,3163.628,152,Medium Risk
GM-14695,2014-09-05,11,6049.966,117,Medium Risk
GP-14740,2012-11-26,5,236.53,765,High Risk
GR-14560,2011-11-21,5,1284.38,1136,High Risk
GT-14635,2014-11-05,6,9351.212,56,Low Risk
GT-14710,2014-11-25,29,11820.119999999999,36,Low Risk
GT-14755,2014-11-27,7,226.436,34,Low Risk
GW-14605,2014-12-03,9,2189.0190000000002,28,Low Risk
GZ-14470,2014-12-24,14,4355.15,7,Low Risk
GZ-14545,2014-07-27,5,2454.622,157,Medium Risk
HA-14905,2014-10-23,10,2163.3,69,Low Risk
HA-14920,2014-12-11,18,2584.158,20,Low Risk
HD-14785,2012-11-22,7,251.36,769,High Risk
HE-14800,2014-12-19,11,883.532,12,Low Risk
HF-14995,2014-12-10,19,2533.164,21,Low Risk
HG-14845,2014-11-07,10,785.628,54,Low Risk
HG-14965,2014-12-08,17,3247.642,23,Low Risk
HG-15025,2014-12-25,11,3690.284,6,Low Risk
HH-15010,2014-10-20,6,218.668,72,Low Risk
HJ-14875,2014-08-27,6,358.1,126,Medium Risk
HK-14890,2014-08-02,15,4877.784000000001,151,Medium Risk
HL-15040,2014-11-18,11,12873.297999999999,43,Low Risk
HM-14860,2014-12-29,20,8236.7648,2,Low Risk
HM-14980,2014-04-28,7,736.276,247,High Risk
HP-14815,2014-12-01,10,1990.314,30,Low Risk
HR-14770,2014-12-18,13,1299.288,13,Low Risk
HR-14830,2014-07-25,14,5248.787,159,Medium Risk
HW-14935,2014-09-05,20,9300.253999999999,117,Medium Risk
HZ-14950,2014-11-26,6,886.52,35,Low Risk
IG-15085,2014-10-21,7,744.574,71,Low Risk
IL-15100,2014-08-11,14,5040.736,142,Medium Risk
IM-15055,2013-11-17,4,2872.63,409,High Risk
IM-15070,2013-12-06,21,4930.474,390,High Risk
JA-15970,2014-09-30,24,6491.026,92,Medium Risk
JB-15400,2014-12-24,16,1791.605,7,Low Risk
JB-15925,2012-12-24,8,900.552,737,High Risk
JB-16000,2014-11-18,7,644.1188,43,Low Risk
JB-16045,2014-12-24,9,2518.115,7,Low Risk
JC-15340,2014-09-08,4,71.263,114,Medium Risk
JC-15385,2014-07-09,4,1058.108,175,Medium Risk
JC-15775,2014-07-26,16,2772.055,158,Medium Risk
JC-16105,2014-11-04,9,858.576,57,Low Risk
JD-15790,2014-09-05,7,2152.3520000000003,117,Medium Risk
JD-15895,2013-12-02,32,7610.8640000000005,394,High Risk
JD-16015,2014-09-10,11,385.43,112,Medium Risk
JD-16060,2014-03-06,6,695.442,300,High Risk
JD-16150,2014-11-20,17,8828.0305,41,Low Risk
JE-15475,2014-06-21,13,1388.682,193,High Risk
JE-15610,2014-11-13,20,7754.976,48,Low Risk
JE-15715,2014-11-15,22,8697.842999999999,46,Low Risk
JE-15745,2014-11-10,23,6760.815,51,Low Risk
JE-16165,2014-12-11,7,2697.248,20,Low Risk
JF-15190,2014-10-27,19,2279.5860000000002,65,Low Risk
JF-15295,2014-05-20,14,955.124,225,High Risk
JF-15355,2014-09-17,16,1911.8439999999998,105,Medium Risk
JF-15415,2014-12-29,14,2371.448,2,Low Risk
JF-15490,2014-09-01,15,1082.918,121,Medium Risk
JF-15565,2014-11-07,16,4198.332,54,Low Risk
JG-15115,2012-12-03,7,2358.676,758,High Risk
JG-15160,2014-12-30,18,6366.392,1,Low Risk
JG-15310,2014-12-29,11,2240.58,2,Low Risk
JG-15805,2014-05-22,9,1507.018,223,High Risk
JH-15430,2014-12-26,7,309.281,5,Low Risk
JH-15820,2014-07-10,8,528.91,174,Medium Risk
JH-15910,2014-11-20,9,959.477,41,Low Risk
JH-15985,2014-12-02,14,7954.9980000000005,29,Low Risk
JH-16180,2013-11-22,5,2256.394,404,High Risk
JJ-15445,2013-09-04,6,709.178,483,High Risk
JJ-15760,2012-12-08,3,195.0,753,High Risk
JK-15205,2014-10-31,13,4427.142,61,Low Risk
JK-15325,2014-03-19,4,383.812,287,High Risk
JK-15370,2014-11-17,17,2709.632,44,Low Risk
JK-15625,2014-10-31,12,3760.028,61,Low Risk
JK-15640,2014-07-04,12,4760.433999999999,180,Medium Risk
JK-15730,2014-10-08,20,4867.2,84,Low Risk
JK-16090,2014-12-03,9,3747.668,28,Low Risk
JK-16120,2014-09-05,17,2932.484,117,Medium Risk
JL-15130,2014-12-23,12,1214.956,8,Low Risk
JL-15175,2014-12-25,7,1571.523,6,Low Risk
JL-15235,2014-09-03,10,2203.7,119,Medium Risk
JL-15505,2014-11-12,17,3173.874,49,Low Risk
JL-15835,2014-12-10,34,9799.923,21,Low Risk
JL-15850,2013-04-26,11,2725.256,614,High Risk
JM-15250,2014-11-24,19,3159.122,37,Low Risk
JM-15265,2014-11-24,13,1804.1460000000002,37,Low Risk
JM-15535,2014-09-20,10,1733.443,102,Medium Risk
JM-15580,2014-12-31,7,303.948,0,Low Risk
JM-15655,2014-12-23,12,864.947,8,Low Risk
JM-15865,2014-09-13,13,7625.076,109,Medium Risk
JM-16195,2014-11-04,19,2833.9260000000004,57,Low Risk
JO-15145,2014-11-04,13,3254.949,57,Low Risk
JO-15280,2014-09-30,11,1934.272,92,Medium Risk
JO-15550,2014-05-30,11,1090.838,215,High Risk
JP-15460,2014-11-24,15,1669.135,37,Low Risk
JP-15520,2014-12-23,16,3635.594,8,Low Risk
JP-16135,2014-09-20,13,1707.71,102,Medium Risk
JR-15670,2013-05-17,3,1156.658,593,High Risk
JR-15700,2014-10-24,1,863.88,68,Low Risk
JR-16210,2014-11-28,10,2201.686,33,Low Risk
JS-15595,2014-09-03,8,1417.654,119,Medium Risk
JS-15685,2014-11-19,11,1131.064,42,Low Risk
JS-15880,2013-07-15,9,3868.02,534,High Risk
JS-15940,2013-09-24,8,469.169,463,High Risk
JS-16030,2014-12-03,18,2516.494,28,Low Risk
JW-15220,2014-11-19,14,7721.714,42,Low Risk
JW-15955,2014-12-26,11,1244.086,5,Low Risk
JW-16075,2013-09-26,7,1428.731,461,High Risk
KA-16525,2014-11-25,11,1519.506,36,Low Risk
KB-16240,2014-12-27,10,3152.6150000000002,4,Low Risk
KB-16315,2014-03-10,22,1569.464,296,High Risk
KB-16405,2014-09-05,9,908.821,117,Medium Risk
KB-16585,2014-05-15,23,2744.742,230,High Risk
KB-16600,2014-12-30,9,983.922,1,Low Risk
KC-16255,2013-11-19,10,2120.954,407,High Risk
KC-16540,2014-09-25,5,3908.2619999999997,97,Medium Risk
KC-16675,2014-11-04,7,1146.05,57,Low Risk
KD-16270,2013-09-03,16,8282.358,484,High Risk
KD-16345,2014-11-20,10,1888.964,41,Low Risk
KD-16495,2014-09-10,28,8181.256,112,Medium Risk
KD-16615,2014-03-17,13,2243.51,289,High Risk
KE-16420,2014-12-05,15,1686.7312,26,Low Risk
KF-16285,2014-09-25,18,10604.266,97,Medium Risk
KH-16330,2014-11-21,18,3312.864,40,Low Risk
KH-16360,2014-12-30,14,3100.612,1,Low Risk
KH-16510,2014-12-09,23,5952.859,22,Low Risk
KH-16630,2014-11-03,17,3918.966,58,Low Risk
KH-16690,2014-12-29,15,5990.799,2,Low Risk
KL-16555,2014-12-15,22,5016.488,16,Low Risk
KL-16645,2014-11-14,29,14175.229,47,Low Risk
KM-16225,2014-12-17,19,2260.958,14,Low Risk
KM-16375,2014-11-05,20,5620.186,56,Low Risk
KM-16660,2014-12-16,9,453.538,15,Low Risk
KM-16720,2014-12-03,28,4909.472,28,Low Risk
KN-16390,2014-12-12,17,2617.272,19,Low Risk
KN-16450,2014-11-09,8,2171.962,52,Low Risk
KN-16705,2014-09-24,15,2280.58,98,Medium Risk
KS-16300,2014-03-11,4,88.47200000000001,295,High Risk
KT-16465,2013-12-05,14,3057.1,391,High Risk
KT-16480,2014-09-22,13,4642.088400000001,100,Medium Risk
KW-16435,2014-09-26,10,4416.52,96,Medium Risk
KW-16570,2012-11-20,5,449.096,771,High Risk
LA-16780,2014-07-30,26,8673.222,154,Medium Risk
LB-16735,2014-11-13,3,50.188,48,Low Risk
LB-16795,2014-08-01,24,4985.676,152,Medium Risk
LC-16870,2014-12-04,30,2580.7039999999997,27,Low Risk
LC-16885,2014-12-15,23,7663.126,16,Low Risk
LC-16930,2014-11-20,14,4492.946,41,Low Risk
LC-16960,2013-10-21,7,3246.6259999999997,436,High Risk
LC-17050,2014-11-07,9,2095.064,54,Low Risk
LC-17140,2014-12-18,19,2633.582,13,Low Risk
LD-16855,2013-06-27,1,5.304,552,High Risk
LD-17005,2013-11-12,7,1961.9339999999997,414,High Risk
LE-16810,2014-12-10,9,1469.4499999999998,21,Low Risk
LF-17185,2014-12-09,16,3930.509,22,Low Risk
LH-16750,2014-08-02,3,287.426,151,Medium Risk
LH-16900,2014-12-10,15,2295.332,21,Low Risk
LH-17020,2014-05-06,6,318.239,239,High Risk
LH-17155,2013-12-11,19,1739.6889999999999,385,High Risk
LL-16840,2014-04-26,12,2741.204,249,High Risk
LM-17065,2013-12-05,7,1346.774,391,High Risk
LO-17170,2014-12-29,9,644.35,2,Low Risk
LP-17080,2014-11-21,9,756.606,40,Low Risk
LP-17095,2014-12-22,15,3653.399,9,Low Risk
LR-16915,2014-12-05,16,5142.892,26,Low Risk
LR-17035,2014-08-21,12,1879.306,132,Medium Risk
LS-16945,2014-07-06,14,2845.27,178,Medium Risk
LS-16975,2014-12-11,22,2988.674,20,Low Risk
LS-17200,2014-09-26,14,1010.256,96,Medium Risk
LS-17230,2012-11-14,6,368.88,777,High Risk
LS-17245,2014-11-27,12,1008.136,34,Low Risk
LT-16765,2014-12-05,3,329.876,26,Low Risk
LT-17110,2014-11-27,14,2936.252,34,Low Risk
LW-16825,2014-10-04,15,2238.061,88,Low Risk
LW-16990,2014-11-28,11,3230.308,33,Low Risk
LW-17125,2014-06-09,5,1259.04,205,High Risk
LW-17215,2014-12-10,15,5420.514,21,Low Risk
MA-17560,2014-10-28,34,4299.161,64,Low Risk
MA-17995,2014-06-28,12,2453.284,186,High Risk
MB-17305,2014-11-13,19,1548.702,48,Low Risk
MB-18085,2014-11-17,10,1428.231,44,Low Risk
MC-17275,2014-10-16,13,2725.982,76,Low Risk
MC-17425,2013-11-27,10,4432.138,399,High Risk
MC-17575,2014-12-04,11,1303.893,27,Low Risk
